event,stage,slot,map_name,difficulty_name,beatmap_id,star_rating
OWC 2025,Qualifiers,NM1,KISIDA KYODAN & THE AKEBOSI ROCKETS - Stray,Afterglow,5355992,7.33
OWC 2025,Qualifiers,NM2,sokoninaru - METALIN,RESONANCE,5355217,7.27
OWC 2025,Qualifiers,NM3,Chaos City Niigata - Ebicha no Shashinki,Vintage Moments,5355991,7.13
OWC 2025,Qualifiers,NM4,femtanyl - ACT RIGHT,This Ain’t What U Want,5356004,6.52
OWC 2025,Qualifiers,HD1,NILFRUITS x Iyowa - Firefly,Transient,5355996,7.15
OWC 2025,Qualifiers,HD2,FLAVOR FOLEY - WEIWARD ROMANCE,SHANGHAI MOONLIGHT,5356021,6.24
OWC 2025,Qualifiers,HR1,roer & Abstract 64 - Linear Feedback,LFSR,5355997,6.71
OWC 2025,Qualifiers,HR2,Aethoro - Deertracks,Arboreal,5356023,6.42
OWC 2025,Qualifiers,DT1,ShinRa-Bansho - Noumiso Rigid Girl,myon,5355804,5.24
OWC 2025,Qualifiers,DT2,SHIKI - Jade Star,Insane,5356026,4.99
OWC 2025,Qualifiers,DT3,Susumu Hirasawa - Niwashi King,:steamhappy:,5355995,5.18
OWC 2025,Group Stage,NM1,mor ve otesi - Forsa,ft. Skytuna,3535240,4.45
OWC 2025,Group Stage,NM2,RINYA - Kyokugen BON Odori,Group Stage: Funyamorake (#16) vs Kuragefunya (#17),5365982,6.4
OWC 2025,Group Stage,NM3,VESPERBELL - Chocolate Disco,Bittersweet,2957016,6.61
OWC 2025,Group Stage,NM4,Vorso - Heliosphere,Coronal Mass Ejection,5365985,7.2
OWC 2025,Group Stage,NM5,Frog96 - Letter to the Black World,the censoring of lifes,5359085,6.4
OWC 2025,Group Stage,HD1,Luna Fozer - Overjoy * OVERDOSE!!,OVERDOSE!!,5187418,5.9
OWC 2025,Group Stage,HD2,I love you orchestra - Coconut Love,Nucifera,3400091,6.22
OWC 2025,Group Stage,HR1,alien3 - alien friend request,GOFROG,4766086,5.33
OWC 2025,Group Stage,HR2,MEMODEMO - Showoff Showdown,Disco Deluxe (OWC Ver.),5365995,6.32
OWC 2025,Group Stage,DT1,R-note - Desire Shooting,Lunatic,5365588,4.64
OWC 2025,Group Stage,DT2,Denkishiki Karen Ongaku Shuudan - Elder Things,Insane,3863677,4.7
OWC 2025,Group Stage,DT3,ZANI - Glass,oh,5364986,5.02
OWC 2025,Group Stage,FM1,PSYQUI - Eyes on me feat. Such,Shock and Awe (ar 9.2),5360296,6.38
OWC 2025,Group Stage,FM2,EBIMAYO - NIGHTMARE INVITATION,MASQUERADE,5364927,6.56
OWC 2025,Group Stage,FM3,nobodyknows+ - Imaike Samba,Expert,4769759,6.75
OWC 2025,Group Stage,TB,Hayakore Tatsumi - Destin Victorica (Harddance Mix) (Nightcore Mix),Nostalgia,4966899,7.07
OWC 2025,Round of 16,NM1,DIALOGUE+ - Daibouken o Yoroshiku,Jet to the Future,5386789,6.73
OWC 2025,Round of 16,NM2,Hideous Divinity - The Deaden Room,Precognition of Blood,4984190,6.78
OWC 2025,Round of 16,NM3,Masayoshi Takanaka - Gascon Cocktail,Gascogne Sunset,5386798,6.94
OWC 2025,Round of 16,NM4,ABSOLUTE CASTAWAY - step by step,iBell's Waltz,5167719,7.09
OWC 2025,Round of 16,NM5,gladde paling - vleermuis,gelukkige aal,5386813,7.41
OWC 2025,Round of 16,HD1,Nekrogoblikon - Dressed as Goblins,LMT's Expert,2602195,6.01
OWC 2025,Round of 16,HD2,Minami no Minami - KAFU-chan no Curry Udon Kyousoukyoku,aaaaAAAAAaaa,4378380,6.81
OWC 2025,Round of 16,HR1,Sunny Day Service - Kokoro ni Kumo o Motsu Shonen,floph's daydream,5386473,6.19
OWC 2025,Round of 16,HR2,Archspire - Involuntary Doppelganger,kerupt's Extra,3328862,6.68
OWC 2025,Round of 16,DT1,KOTOKO - Oboetete Ii yo,Insane,163836,4.84
OWC 2025,Round of 16,DT2,senya - Tokuiten no Kaibutsuteki Kanjou,Satellite,5386832,4.96
OWC 2025,Round of 16,DT3,"Tyler, The Creator - Ring Ring Ring",Voicemail,5386835,5.26
OWC 2025,Round of 16,FM1,inabakumori - NON-USE,owc,5386902,5.86
OWC 2025,Round of 16,FM2,Magdalena Bay - Image,mirage,5386826,6.59
OWC 2025,Round of 16,FM3,masarada - Liar Dancer,DANSA,5290020,6.64
OWC 2025,Round of 16,TB,Yooh - Eternity,Divine,5386544,6.98
OWC 2025,Quarterfinals,NM1,zebrahead - Falling Apart,The Perfect Crime (OWC),5396874,6.12
OWC 2025,Quarterfinals,NM2,Into Infernus - Shimmy,Perplexed Dementia,3201572,6.97
OWC 2025,Quarterfinals,NM3,La Maquina de Hacer Pajaros - Hipercandombe,Hipernatural (OWC Ver.),5396883,7.29
OWC 2025,Quarterfinals,NM4,MetaHumanBoi - ILLUSTRIOUS DRIFTERS,TOKYO TONI,5396699,7.33
OWC 2025,Quarterfinals,NM5,LUZE - ULTRA RENDA 1,:sleephappy:,5396886,7.74
OWC 2025,Quarterfinals,HD1,Galactikraken - Jetpack Race,Lightspeed,5276838,6.67
OWC 2025,Quarterfinals,HD2,69 de 74 - TransientTears,WeensyWaltz,5396898,7.39
OWC 2025,Quarterfinals,HD3,NIWASHI - Heartstrings,Kotosen,4703382,7.41
OWC 2025,Quarterfinals,HR1,Mr. Asyu - Haunted Dance,"Simon, the Grim Fetcher",5396555,5.66
OWC 2025,Quarterfinals,HR2,the GazettE - DEVOURING ONE ANOTHER,Expert,4031906,6.0
OWC 2025,Quarterfinals,HR3,Culprate & Dictate - Pencilina,Metro,1590460,6.87
OWC 2025,Quarterfinals,DT1,kradness&Reol - Remote Control,Max Control!,774965,5.13
OWC 2025,Quarterfinals,DT2,A-One - Side by Side,owc,5396889,5.23
OWC 2025,Quarterfinals,DT3,Demetori - Strawberry Crisis!!,Lunatic,5396798,5.45
OWC 2025,Quarterfinals,DT4,Nightcore - Ravers Fantasy,Lizbeth's Fantasy,57382,5.68
OWC 2025,Quarterfinals,FM1,Laser Imouto - Prismatix,Angelic Beauty,4898892,6.2
OWC 2025,Quarterfinals,FM2,Isekaijoucho & KAF - Suminagashi,exit();,5396931,6.94
OWC 2025,Quarterfinals,FM3,RD-Sounds feat. Meramipop - On Seeking U,osu,5232210,7.06
OWC 2025,Quarterfinals,FM4,takehirotei - Haiboku no Altra Vita,Vanquished,5297696,7.44
OWC 2025,Quarterfinals,TB,Helblinde - Nastrond,Delirious,5396873,7.44
OWC 2025,Semifinals,NM1,paraoka feat. haru*nya - Tyranny,melon's KACHOW,4798382,6.23
OWC 2025,Semifinals,NM2,Various Artists - Ms. VICTORIA,Symphony of Triumph,5405863,7.4
OWC 2025,Semifinals,NM3,steelplus - Skywired Beatscape,Alteristia (ft. Megafan),5405883,7.55
OWC 2025,Semifinals,NM4,HAKUSHI HASEGAWA - Desert,Mirage,2921554,7.68
OWC 2025,Semifinals,NM5,momone chinoi - DENNO MIENMIEN MAO,nemunemunyanko,5209021,7.85
OWC 2025,Semifinals,HD1,DJ SHARPNEL - STRANGEPROGRAM,CamoMiX,5405871,6.32
OWC 2025,Semifinals,HD2,Mili - Peach Pit and Cyanide,Sweet Cyanide,5405912,7.17
OWC 2025,Semifinals,HD3,qfeileadh feat. Risa Kodaka - Tendou Musou no Homura,Empyrean Duality,5209054,7.56
OWC 2025,Semifinals,HR1,AZKi - Fake.Fake.Fake,X,3291179,6.8
OWC 2025,Semifinals,HR2,maki - stairway to the universe,end (OWC Ver.),5405917,7.02
OWC 2025,Semifinals,HR3,utzbo - Kagenui,acnozei's Extreme,5404971,7.39
OWC 2025,Semifinals,DT1,SB_YUNE - Dread of the grave -more fear-,Knox's Decalogue,2125262,4.55
OWC 2025,Semifinals,DT2,gmtn. (witch's slave) - Daraku no Sono,dahkjdas' Expert,3307365,5.41
OWC 2025,Semifinals,DT3,paraoka - Dreadnought,Insane,149559,5.5
OWC 2025,Semifinals,DT4,Telepopmusik - Breathe,Fresh Air,2544530,5.66
OWC 2025,Semifinals,FM1,Hotori Misaki (CV: Koharu Nagi) - Wakuwaku Tabemono Land,Gluttony,5405851,7.05
OWC 2025,Semifinals,FM2,DJ Sharpnel - Entangle Night,Entangle Stream -230-,4697634,7.22
OWC 2025,Semifinals,FM3,femtanyl - GIRL HELL 1999 (bye2 Remix),"2C-B (4-bromo-CS:2,5-dimethoxyphenethylamine)",5405861,7.53
OWC 2025,Semifinals,FM4,"Kairiki bear feat. GUMI, Kagamine Rin - Inai Inai Izonshou",EXISTENCE,5405928,7.75
OWC 2025,Semifinals,TB,ELFENSJoN - Hexen Noir,Crimson Goddess,5405933,7.89
OWC 2025,Finals,NM1,inoqx - DEAFHEAVEN,HEAVENLY COLLAB,5234131,6.32
OWC 2025,Finals,NM2,The Odious Construct - Throne of Misanthropy,Eternal Reign,5416080,6.86
OWC 2025,Finals,NM3,EmoCosine - Cutter,SliderBlade,5415528,7.71
OWC 2025,Finals,NM4,XenjeS - Inorganic Dystopia,Programmed Existence,5416113,8.04
OWC 2025,Finals,NM5,Shione Kitsune - <header>,</header>,5416117,6.32
OWC 2025,Finals,HD1,MASA WORKS DESIGN feat. Hatsune Miku & GUMI - Kitsune no Yomeiri,Mischievous,5416121,7.74
OWC 2025,Finals,HD2,"syumagi - Bad Day, Good-Bye. feat. Suisoh",ar8,4772296,8.06
OWC 2025,Finals,HD3,Frums - Zephyrs,Another,5416125,7.74
OWC 2025,Finals,HR1,Asriel - Kegare Naki Yume,Nasmoeb,5416105,7.06
OWC 2025,Finals,HR2,cygnus - The Ruby of Twilight,Pure Ruby,5416133,7.72
OWC 2025,Finals,HR3,Marmalade butcher - Open Scar Unending,Paragon & perdition (OWC),5416144,7.06
OWC 2025,Finals,DT1,TwoThirds & Feint - Epiphany (feat. Veela),Revelation,687303,5.31
OWC 2025,Finals,DT2,Decapitated - Homo Sum,Insane,3557557,5.53
OWC 2025,Finals,DT3,modlessflash - vertigo,collab nausea,5416151,5.77
OWC 2025,Finals,DT4,Street - Maritime Police,Marigold,1440743,6.18
OWC 2025,Finals,FM1,BABYMETAL - Arkadia,For Your Dream,4026393,6.83
OWC 2025,Finals,FM2,I love you Orchestra - Red Ocean,Ex,5416170,6.87
OWC 2025,Finals,FM3,TJ.hangneil + Atomic Sphere feat. Annabel - the Tower of NIRV,current//flow.ex,5416171,7.36
OWC 2025,Finals,FM4,FREDERIC - Sparkle Dancer,catJAM,5416150,7.61
OWC 2025,Finals,TB,t+pazolite - Gumbarlzo!,MOVE TO THE FUNKY BEAT!,5416200,8.5
OWC 2025,Grand Finals,NM1,Falcom Sound Team jdk - Azure Destiny,Grand Reset,5425903,6.41
OWC 2025,Grand Finals,NM2,STARKILL - Be Dead or Die,404 EDEN,5426127,7.72
OWC 2025,Grand Finals,NM3,Cansol - Out of Place,Stray,5426137,8.24
OWC 2025,Grand Finals,NM4,Billain - Afterburner (Cut Ver.),Azrulk x Ishtiaq | Void Shift,5426152,8.28
OWC 2025,Grand Finals,NM5,Kikuo - Mono wo Parapara Kowasu,Amalgamate,5426154,8.29
OWC 2025,Grand Finals,HD1,youman - R.I.P.,M.E.M.O.R.I.A.M.,5426162,7.79
OWC 2025,Grand Finals,HD2,Kenshi Yonezu - Shitodo Seiten Daimeiwaku,Helter-skelter,5425751,8.35
OWC 2025,Grand Finals,HD3,BlackY - PANAGIA,Effulgence (OWC Ver.),5426182,8.35
OWC 2025,Grand Finals,HR1,Ave Mujica - DIVINE,CLAIRVOYANCE,5424868,6.42
OWC 2025,Grand Finals,HR2,METAROOM - EMBRYOGLYPH,MYSTERMINAL PYTHESIS,5426187,7.54
OWC 2025,Grand Finals,HR3,tuki. - Guilty,Punishment,5426197,7.54
OWC 2025,Grand Finals,DT1,fhana - Wonder Stella,Marvel,794750,5.77
OWC 2025,Grand Finals,DT2,airportexpress feat.Itsuneko - BIRTH,Insane,422762,5.88
OWC 2025,Grand Finals,DT3,DJ SHARPNEL - Pacific girls,jumpstream,5426129,5.93
OWC 2025,Grand Finals,DT4,Aiobahn - resonance feat. KOCHO (KARUT Remix),dual tone,5426228,6.13
OWC 2025,Grand Finals,FM1,DJ SHARPNEL - Mmmmmmm,Chaos Collab!!,5426056,7.16
OWC 2025,Grand Finals,FM2,beatMARIO - Night of Knights,Perfect Maid,5425907,7.65
OWC 2025,Grand Finals,FM3,Inferi - The Abhorrent Art,Massacre,5426165,7.89
OWC 2025,Grand Finals,FM4,Kobaryo - Kick To The Sky,Revolution,5426252,7.96
OWC 2025,Grand Finals,TB,Imperial Circus Dead Decadence - Yuuaku no Inori - Anima immortalis est. -,Melodia Caelestis Immortalis,5426254,9.45
