event,stage,match_index,team_code,opponent_team_code,team_score,opponent_score,result,match_link,date
OWC 2025,Finals,0,AU,DE,7,2,win,,
OWC 2025,Finals,1,AU,CA,7,3,win,,
OWC 2025,Finals,0,CA,KR,7,4,win,,
OWC 2025,Finals,1,CA,AU,3,7,loss,,
OWC 2025,Finals,0,DE,AU,2,7,loss,,
OWC 2025,Finals,0,KR,CA,4,7,loss,,
OWC 2025,Finals,0,PL,US,7,6,win,,
OWC 2025,Finals,0,US,PL,6,7,loss,,
OWC 2025,Grand Finals,0,AU,US,6,7,loss,,
OWC 2025,Grand Finals,0,PL,US,1,7,loss,,
OWC 2025,Grand Finals,1,PL,US,7,3,win,,
OWC 2025,Grand Finals,0,US,AU,7,6,win,,
OWC 2025,Grand Finals,1,US,PL,3,7,loss,,
OWC 2025,Grand Finals,2,US,PL,7,1,win,,
OWC 2025,Group Stage,0,AR,,5,2,,,
OWC 2025,Group Stage,1,AR,,5,4,,,
OWC 2025,Group Stage,2,AR,,1,5,,,
OWC 2025,Group Stage,0,AT,,5,3,,,
OWC 2025,Group Stage,1,AT,,0,5,,,
OWC 2025,Group Stage,2,AT,,3,5,,,
OWC 2025,Group Stage,0,BE,,2,5,,,
OWC 2025,Group Stage,1,BE,,1,5,,,
OWC 2025,Group Stage,2,BE,,5,4,,,
OWC 2025,Group Stage,0,BR,,5,2,,,
OWC 2025,Group Stage,1,BR,,5,2,,,
OWC 2025,Group Stage,2,BR,,3,5,,,
OWC 2025,Group Stage,0,CL,,4,5,,,
OWC 2025,Group Stage,1,CL,,5,2,,,
OWC 2025,Group Stage,2,CL,,5,0,,,
OWC 2025,Group Stage,0,CN,,5,1,,,
OWC 2025,Group Stage,1,CN,,5,3,,,
OWC 2025,Group Stage,2,CN,,5,2,,,
OWC 2025,Group Stage,0,DK,,0,5,,,
OWC 2025,Group Stage,1,DK,,1,5,,,
OWC 2025,Group Stage,2,DK,,3,5,,,
OWC 2025,Group Stage,0,ES,,5,0,,,
OWC 2025,Group Stage,1,ES,,5,4,,,
OWC 2025,Group Stage,2,ES,,2,5,,,
OWC 2025,Group Stage,0,FI,,2,5,,,
OWC 2025,Group Stage,1,FI,,2,5,,,
OWC 2025,Group Stage,2,FI,,5,1,,,
OWC 2025,Group Stage,0,FR,,5,0,,,
OWC 2025,Group Stage,1,FR,,5,2,,,
OWC 2025,Group Stage,2,FR,,2,5,,,
OWC 2025,Group Stage,0,GR,,4,5,,,
OWC 2025,Group Stage,1,GR,,1,5,,,
OWC 2025,Group Stage,2,GR,,2,5,,,
OWC 2025,Group Stage,0,HK,,4,5,,,
OWC 2025,Group Stage,1,HK,,2,5,,,
OWC 2025,Group Stage,2,HK,,5,4,,,
OWC 2025,Group Stage,0,ID,,5,2,,,
OWC 2025,Group Stage,1,ID,,0,5,,,
OWC 2025,Group Stage,2,ID,,1,5,,,
OWC 2025,Group Stage,0,IT,,0,5,,,
OWC 2025,Group Stage,1,IT,,0,5,,,
OWC 2025,Group Stage,2,IT,,0,5,,,
OWC 2025,Group Stage,0,JP,,5,1,,,
OWC 2025,Group Stage,1,JP,,5,2,,,
OWC 2025,Group Stage,2,JP,,5,3,,,
OWC 2025,Group Stage,0,KZ,,5,3,,,
OWC 2025,Group Stage,1,KZ,,5,1,,,
OWC 2025,Group Stage,2,KZ,,5,0,,,
OWC 2025,Group Stage,0,MY,,5,1,,,
OWC 2025,Group Stage,1,MY,,5,3,,,
OWC 2025,Group Stage,2,MY,,1,5,,,
OWC 2025,Group Stage,0,NL,,1,5,,,
OWC 2025,Group Stage,1,NL,,2,5,,,
OWC 2025,Group Stage,2,NL,,5,3,,,
OWC 2025,Group Stage,0,NO,,5,0,,,
OWC 2025,Group Stage,1,NO,,5,0,,,
OWC 2025,Group Stage,2,NO,,2,5,,,
OWC 2025,Group Stage,0,NZ,,5,2,,,
OWC 2025,Group Stage,1,NZ,,5,0,,,
OWC 2025,Group Stage,2,NZ,,5,3,,,
OWC 2025,Group Stage,0,PE,,5,3,,,
OWC 2025,Group Stage,1,PE,,1,5,,,
OWC 2025,Group Stage,2,PE,,5,2,,,
OWC 2025,Group Stage,0,PH,,5,1,,,
OWC 2025,Group Stage,1,PH,,3,5,,,
OWC 2025,Group Stage,2,PH,,5,3,,,
OWC 2025,Group Stage,0,PT,,3,5,,,
OWC 2025,Group Stage,1,PT,,5,3,,,
OWC 2025,Group Stage,2,PT,,3,5,,,
OWC 2025,Group Stage,0,RO,,1,5,,,
OWC 2025,Group Stage,1,RO,,3,5,,,
OWC 2025,Group Stage,2,RO,,5,1,,,
OWC 2025,Group Stage,0,SE,,3,5,,,
OWC 2025,Group Stage,1,SE,,2,5,,,
OWC 2025,Group Stage,2,SE,,5,3,,,
OWC 2025,Group Stage,0,SG,,5,4,,,
OWC 2025,Group Stage,1,SG,,5,2,,,
OWC 2025,Group Stage,2,SG,,3,5,,,
OWC 2025,Group Stage,0,TH,,1,5,,,
OWC 2025,Group Stage,1,TH,,0,5,,,
OWC 2025,Group Stage,2,TH,,3,5,,,
OWC 2025,Group Stage,0,TR,,5,1,,,
OWC 2025,Group Stage,1,TR,,5,1,,,
OWC 2025,Group Stage,2,TR,,5,1,,,
OWC 2025,Group Stage,0,TW,,5,1,,,
OWC 2025,Group Stage,1,TW,,5,0,,,
OWC 2025,Group Stage,2,TW,,5,1,,,
OWC 2025,Group Stage,0,UA,,3,5,,,
OWC 2025,Group Stage,1,UA,,2,5,,,
OWC 2025,Group Stage,2,UA,,0,5,,,
OWC 2025,Group Stage,0,UY,,4,5,,,
OWC 2025,Group Stage,1,UY,,1,5,,,
OWC 2025,Group Stage,2,UY,,4,5,,,
OWC 2025,Group Stage,0,VN,,3,5,,,
OWC 2025,Group Stage,1,VN,,5,3,,,
OWC 2025,Group Stage,2,VN,,1,5,,,
OWC 2025,Quarterfinals,0,AT,PL,1,6,loss,,
OWC 2025,Quarterfinals,0,AU,KR,6,2,win,,
OWC 2025,Quarterfinals,0,BR,FI,6,4,win,,
OWC 2025,Quarterfinals,1,BR,NO,3,6,loss,,
OWC 2025,Quarterfinals,0,CA,DE,6,3,win,,
OWC 2025,Quarterfinals,0,CL,ID,6,1,win,,
OWC 2025,Quarterfinals,1,CL,TW,6,2,win,,
OWC 2025,Quarterfinals,0,CN,FR,1,6,loss,,
OWC 2025,Quarterfinals,0,DE,CA,3,6,loss,,
OWC 2025,Quarterfinals,0,ES,RU,2,6,loss,,
OWC 2025,Quarterfinals,0,FI,BR,4,6,loss,,
OWC 2025,Quarterfinals,0,FR,CN,6,1,win,,
OWC 2025,Quarterfinals,1,FR,NZ,3,6,loss,,
OWC 2025,Quarterfinals,0,GB,US,0,6,loss,,
OWC 2025,Quarterfinals,0,ID,CL,1,6,loss,,
OWC 2025,Quarterfinals,0,JP,PH,1,6,loss,,
OWC 2025,Quarterfinals,0,KR,AU,2,6,loss,,
OWC 2025,Quarterfinals,0,NO,TR,6,2,win,,
OWC 2025,Quarterfinals,1,NO,BR,6,3,win,,
OWC 2025,Quarterfinals,0,NZ,SE,6,1,win,,
OWC 2025,Quarterfinals,1,NZ,FR,6,3,win,,
OWC 2025,Quarterfinals,0,PH,JP,6,1,win,,
OWC 2025,Quarterfinals,1,PH,RU,3,6,loss,,
OWC 2025,Quarterfinals,0,PL,AT,6,1,win,,
OWC 2025,Quarterfinals,0,RO,TW,5,6,loss,,
OWC 2025,Quarterfinals,0,RU,ES,6,2,win,,
OWC 2025,Quarterfinals,1,RU,PH,6,3,win,,
OWC 2025,Quarterfinals,0,SE,NZ,1,6,loss,,
OWC 2025,Quarterfinals,0,TR,NO,2,6,loss,,
OWC 2025,Quarterfinals,0,TW,CL,2,6,loss,,
OWC 2025,Quarterfinals,1,TW,RO,6,5,win,,
OWC 2025,Quarterfinals,0,US,GB,6,0,win,,
OWC 2025,Round of 16,0,AR,ES,0,6,loss,,
OWC 2025,Round of 16,0,AT,,5,1,,,
OWC 2025,Round of 16,0,AU,,5,0,,,
OWC 2025,Round of 16,0,BR,DE,1,5,loss,,
OWC 2025,Round of 16,0,CA,,5,0,,,
OWC 2025,Round of 16,0,CL,,0,5,,,
OWC 2025,Round of 16,0,CN,RU,5,3,win,,
OWC 2025,Round of 16,0,DE,BR,5,1,win,,
OWC 2025,Round of 16,0,ES,AR,6,0,win,,
OWC 2025,Round of 16,0,FI,,5,1,,,
OWC 2025,Round of 16,0,FR,,2,5,,,
OWC 2025,Round of 16,0,GB,,5,3,,,
OWC 2025,Round of 16,0,ID,,5,2,,,
OWC 2025,Round of 16,0,IT,,3,5,,,
OWC 2025,Round of 16,0,JP,TH,5,4,win,,
OWC 2025,Round of 16,0,KR,,5,0,,,
OWC 2025,Round of 16,0,KZ,,2,5,,,
OWC 2025,Round of 16,0,MY,,3,5,,,
OWC 2025,Round of 16,0,NL,,0,5,,,
OWC 2025,Round of 16,0,NO,,0,5,,,
OWC 2025,Round of 16,0,NZ,,3,5,,,
OWC 2025,Round of 16,0,PE,,1,5,,,
OWC 2025,Round of 16,0,PH,,1,5,,,
OWC 2025,Round of 16,0,PL,,5,1,,,
OWC 2025,Round of 16,0,RO,,0,5,,,
OWC 2025,Round of 16,0,RU,CN,3,5,loss,,
OWC 2025,Round of 16,0,SE,,5,3,,,
OWC 2025,Round of 16,0,SG,,1,5,,,
OWC 2025,Round of 16,0,TH,JP,4,5,loss,,
OWC 2025,Round of 16,0,TR,,5,3,,,
OWC 2025,Round of 16,0,TW,,5,0,,,
OWC 2025,Round of 16,0,US,,5,2,,,
OWC 2025,Semifinals,0,AU,US,0,6,loss,,
OWC 2025,Semifinals,0,CA,KR,1,6,loss,,
OWC 2025,Semifinals,0,CL,DE,2,6,loss,,
OWC 2025,Semifinals,0,CN,NZ,3,6,loss,,
OWC 2025,Semifinals,0,DE,CL,6,2,win,,
OWC 2025,Semifinals,1,DE,NZ,6,4,win,,
OWC 2025,Semifinals,0,GB,RU,3,6,loss,,
OWC 2025,Semifinals,0,KR,CA,6,1,win,,
OWC 2025,Semifinals,1,KR,RU,6,1,win,,
OWC 2025,Semifinals,0,NO,PL,1,6,loss,,
OWC 2025,Semifinals,0,NZ,CN,6,3,win,,
OWC 2025,Semifinals,1,NZ,DE,4,6,loss,,
OWC 2025,Semifinals,0,PL,NO,6,1,win,,
OWC 2025,Semifinals,0,RU,GB,6,3,win,,
OWC 2025,Semifinals,1,RU,KR,1,6,loss,,
