team_code,team_name,event
AR,Argentina,OWC 2025
AT,Austria,OWC 2025
AU,Australia,OWC 2025
BE,Belgium,OWC 2025
BR,Brazil,OWC 2025
CA,Canada,OWC 2025
CL,Chile,OWC 2025
CN,China,OWC 2025
DE,Germany,OWC 2025
DK,Denmark,OWC 2025
ES,Spain,OWC 2025
FI,Finland,OWC 2025
FR,France,OWC 2025
GB,United Kingdom,OWC 2025
GR,Greece,OWC 2025
HK,Hong Kong,OWC 2025
ID,Indonesia,OWC 2025
IT,Italy,OWC 2025
JP,Japan,OWC 2025
KR,South Korea,OWC 2025
KZ,Kazakhstan,OWC 2025
MY,Malaysia,OWC 2025
NL,Netherlands,OWC 2025
NO,Norway,OWC 2025
NZ,New Zealand,OWC 2025
PE,Peru,OWC 2025
PH,Philippines,OWC 2025
PL,Poland,OWC 2025
PT,Portugal,OWC 2025
RO,Romania,OWC 2025
RU,Russian Federation,OWC 2025
SE,Sweden,OWC 2025
SG,Singapore,OWC 2025
TH,Thailand,OWC 2025
TR,Türkiye,OWC 2025
TW,Taiwan,OWC 2025
UA,Ukraine,OWC 2025
US,United States,OWC 2025
UY,Uruguay,OWC 2025
VN,Vietnam,OWC 2025
