username,elitebotix_score,skill_issue_score,bancho_score,lazer_score,recent_tournament_form,consistency_score,reliability_multiplier,activity_multiplier,final_power_score,provisional,base_power_score,tournaments_played_last_12m,days_since_last_event,explanation,debug
liliel,,,84.44,,72.8,96.66,0.8875,0.9475,50.16,True,59.65,2,134.0,"liliel scores 50.16 with consistency score 96.7, bancho score 84.4, recent tournament form 72.8; reliability 0.887, activity 0.948, provisional",{}
MALISZEWSKI,,,64.73,,75.31,91.38,0.9062,0.9475,50.07,False,58.31,3,134.0,"MALISZEWSKI scores 50.07 with consistency score 91.4, recent tournament form 75.3, bancho score 64.7; reliability 0.906, activity 0.948",{}
mrekk,,,100.0,,64.39,99.69,0.8875,0.9472,49.9,True,59.36,2,135.0,"mrekk scores 49.90 with bancho score 100.0, consistency score 99.7, recent tournament form 64.4; reliability 0.887, activity 0.947, provisional",{}
Rafis,,,62.62,,77.18,91.29,0.8875,0.9475,49.2,True,58.51,2,134.0,"Rafis scores 49.20 with consistency score 91.3, recent tournament form 77.2, bancho score 62.6; reliability 0.887, activity 0.948, provisional",{}
gnahus,,,80.92,,69.22,92.87,0.8875,0.9475,49.16,True,58.46,2,134.0,"gnahus scores 49.16 with consistency score 92.9, bancho score 80.9, recent tournament form 69.2; reliability 0.887, activity 0.948, provisional",{}
lifeline,,,81.94,,62.67,76.28,0.8875,0.9674,48.43,True,56.4,2,71.0,"lifeline scores 48.43 with bancho score 81.9, consistency score 76.3, recent tournament form 62.7; reliability 0.887, activity 0.967, provisional",{}
ASecretBox,,,71.37,,61.95,95.9,0.9062,0.9472,48.41,False,56.39,3,135.0,"ASecretBox scores 48.41 with consistency score 95.9, bancho score 71.4, recent tournament form 62.0; reliability 0.906, activity 0.947",{}
decaten,,,55.92,,67.63,87.33,0.9062,0.9475,47.97,False,55.87,3,134.0,"decaten scores 47.97 with consistency score 87.3, recent tournament form 67.6, bancho score 55.9; reliability 0.906, activity 0.948",{}
cloppit,,,74.89,,61.37,98.18,0.8875,0.9472,47.64,True,56.67,2,135.0,"cloppit scores 47.64 with consistency score 98.2, bancho score 74.9, recent tournament form 61.4; reliability 0.887, activity 0.947, provisional",{}
rektygon,,,61.62,,69.44,83.72,0.8875,0.9475,47.51,True,56.5,2,134.0,"rektygon scores 47.51 with consistency score 83.7, recent tournament form 69.4, bancho score 61.6; reliability 0.887, activity 0.948, provisional",{}
aknzx,,,69.9,,57.55,90.63,0.9062,0.9472,47.32,False,55.13,3,135.0,"aknzx scores 47.32 with consistency score 90.6, bancho score 69.9, recent tournament form 57.5; reliability 0.906, activity 0.947",{}
hav,,,35.88,,77.98,82.34,0.8875,0.9475,47.16,True,56.08,2,134.0,"hav scores 47.16 with consistency score 82.3, recent tournament form 78.0, bancho score 35.9; reliability 0.887, activity 0.948, provisional",{}
Zylice,,,78.42,,52.85,88.52,0.9062,0.9457,46.94,False,54.77,3,141.0,"Zylice scores 46.94 with consistency score 88.5, bancho score 78.4, recent tournament form 52.9; reliability 0.906, activity 0.946",{}
BoshyMan741,,,44.67,,71.53,88.46,0.8875,0.9475,46.92,True,55.8,2,134.0,"BoshyMan741 scores 46.92 with consistency score 88.5, recent tournament form 71.5, bancho score 44.7; reliability 0.887, activity 0.948, provisional",{}
bored yes,,,79.17,,86.13,25.0,0.8688,0.9194,46.58,True,58.31,1,295.0,"bored yes scores 46.58 with recent tournament form 86.1, bancho score 79.2, consistency score 25.0; reliability 0.869, activity 0.919, provisional",{}
Pezz,,,44.75,,66.4,91.38,0.8875,0.9475,46.19,True,54.93,2,134.0,"Pezz scores 46.19 with consistency score 91.4, recent tournament form 66.4, bancho score 44.7; reliability 0.887, activity 0.948, provisional",{}
FlyingTuna,,,68.4,,55.26,99.42,0.8875,0.9454,46.14,True,55.0,2,142.0,"FlyingTuna scores 46.14 with consistency score 99.4, bancho score 68.4, recent tournament form 55.3; reliability 0.887, activity 0.945, provisional",{}
Kosiarek,,,39.24,,64.13,84.55,0.9062,0.9475,46.1,False,53.69,3,134.0,"Kosiarek scores 46.10 with consistency score 84.5, recent tournament form 64.1, bancho score 39.2; reliability 0.906, activity 0.948",{}
killer2007,,,77.08,,50.57,98.59,0.8875,0.9439,45.83,True,54.71,2,148.0,"killer2007 scores 45.83 with consistency score 98.6, bancho score 77.1, recent tournament form 50.6; reliability 0.887, activity 0.944, provisional",{}
MineFrostID,,,55.6,,54.36,90.05,0.8875,0.9674,45.78,True,53.32,2,71.0,"MineFrostID scores 45.78 with consistency score 90.0, bancho score 55.6, recent tournament form 54.4; reliability 0.887, activity 0.967, provisional",{}
