username,elitebotix_score,skill_issue_score,bancho_score,lazer_score,recent_tournament_form,consistency_score,reliability_multiplier,activity_multiplier,final_power_score,provisional,base_power_score,tournaments_played_last_12m,days_since_last_event,explanation,debug
mrekk,,,100.0,,76.66,79.68,0.8688,0.9494,68.28,True,82.78,1,127.0,"mrekk scores 68.28 with bancho score 100.0, consistency score 79.7, recent tournament form 76.7; reliability 0.869, activity 0.949, provisional",{}
enri,,,71.06,,90.12,50.0,0.8688,0.9497,65.53,True,79.42,1,126.0,"enri scores 65.53 with recent tournament form 90.1, bancho score 71.1, consistency score 50.0; reliability 0.869, activity 0.950, provisional",{}
MALISZEWSKI,,,64.88,,80.88,86.79,0.8688,0.9497,64.27,True,77.9,1,126.0,"MALISZEWSKI scores 64.27 with consistency score 86.8, recent tournament form 80.9, bancho score 64.9; reliability 0.869, activity 0.950, provisional",{}
liliel,,,84.44,,70.01,77.9,0.8688,0.9497,61.64,True,74.7,1,126.0,"liliel scores 61.64 with bancho score 84.4, consistency score 77.9, recent tournament form 70.0; reliability 0.869, activity 0.950, provisional",{}
Raikouhou,,,64.44,,75.97,85.55,0.8688,0.9497,61.57,True,74.63,1,126.0,"Raikouhou scores 61.57 with consistency score 85.5, recent tournament form 76.0, bancho score 64.4; reliability 0.869, activity 0.950, provisional",{}
Riot,,,55.55,,87.78,50.0,0.8688,0.9497,61.26,True,74.24,1,126.0,"Riot scores 61.26 with recent tournament form 87.8, bancho score 55.5, consistency score 50.0; reliability 0.869, activity 0.950, provisional",{}
rektygon,,,61.62,,76.54,81.91,0.8688,0.9497,60.84,True,73.74,1,126.0,"rektygon scores 60.84 with consistency score 81.9, recent tournament form 76.5, bancho score 61.6; reliability 0.869, activity 0.950, provisional",{}
misha awa,,,50.93,,77.75,89.11,0.8688,0.9497,60.21,True,72.97,1,126.0,"misha awa scores 60.21 with consistency score 89.1, recent tournament form 77.8, bancho score 50.9; reliability 0.869, activity 0.950, provisional",{}
WindowLife,,,67.33,,68.21,85.1,0.8688,0.9497,58.22,True,70.56,1,126.0,"WindowLife scores 58.22 with consistency score 85.1, recent tournament form 68.2, bancho score 67.3; reliability 0.869, activity 0.950, provisional",{}
FlyingTuna,,,68.64,,68.93,80.28,0.8688,0.9475,58.1,True,70.58,1,134.0,"FlyingTuna scores 58.10 with consistency score 80.3, recent tournament form 68.9, bancho score 68.6; reliability 0.869, activity 0.948, provisional",{}
ASecretBox,,,71.37,,67.34,78.16,0.8688,0.9494,57.7,True,69.96,1,127.0,"ASecretBox scores 57.70 with consistency score 78.2, bancho score 71.4, recent tournament form 67.3; reliability 0.869, activity 0.949, provisional",{}
decaten,,,56.03,,69.26,93.44,0.8688,0.9497,57.52,True,69.72,1,126.0,"decaten scores 57.52 with consistency score 93.4, recent tournament form 69.3, bancho score 56.0; reliability 0.869, activity 0.950, provisional",{}
NINERIK,,,87.96,,60.9,67.73,0.8688,0.9457,56.28,True,68.49,1,141.0,"NINERIK scores 56.28 with bancho score 88.0, consistency score 67.7, recent tournament form 60.9; reliability 0.869, activity 0.946, provisional",{}
Kamensh1k,,,69.63,,64.02,82.0,0.8688,0.9478,56.08,True,68.1,1,133.0,"Kamensh1k scores 56.08 with consistency score 82.0, bancho score 69.6, recent tournament form 64.0; reliability 0.869, activity 0.948, provisional",{}
gnahus,,,80.92,,55.95,89.89,0.8688,0.9497,55.4,True,67.14,1,126.0,"gnahus scores 55.40 with consistency score 89.9, bancho score 80.9, recent tournament form 56.0; reliability 0.869, activity 0.950, provisional",{}
JackPaX,,,47.23,,71.97,72.35,0.8688,0.9497,54.48,True,66.03,1,126.0,"JackPaX scores 54.48 with consistency score 72.3, recent tournament form 72.0, bancho score 47.2; reliability 0.869, activity 0.950, provisional",{}
xootynator,,,62.16,,65.89,73.57,0.8688,0.9478,54.47,True,66.15,1,133.0,"xootynator scores 54.47 with consistency score 73.6, recent tournament form 65.9, bancho score 62.2; reliability 0.869, activity 0.948, provisional",{}
clafrelys,,,59.74,,62.75,87.38,0.8688,0.9478,54.14,True,65.75,1,133.0,"clafrelys scores 54.14 with consistency score 87.4, recent tournament form 62.8, bancho score 59.7; reliability 0.869, activity 0.948, provisional",{}
BoshyMan741,,,44.73,,67.62,90.13,0.8688,0.9497,54.03,True,65.48,1,126.0,"BoshyMan741 scores 54.03 with consistency score 90.1, recent tournament form 67.6, bancho score 44.7; reliability 0.869, activity 0.950, provisional",{}
criller,,,54.38,,64.57,87.5,0.8688,0.9475,53.98,True,65.57,1,134.0,"criller scores 53.98 with consistency score 87.5, recent tournament form 64.6, bancho score 54.4; reliability 0.869, activity 0.948, provisional",{}
Saiyku,,,66.74,,58.97,86.67,0.8688,0.9478,53.57,True,65.05,1,133.0,"Saiyku scores 53.57 with consistency score 86.7, bancho score 66.7, recent tournament form 59.0; reliability 0.869, activity 0.948, provisional",{}
plambob,,,68.4,,59.23,81.65,0.8688,0.9497,53.51,True,64.85,1,126.0,"plambob scores 53.51 with consistency score 81.7, bancho score 68.4, recent tournament form 59.2; reliability 0.869, activity 0.950, provisional",{}
tekkito,,,53.19,,63.67,84.42,0.8688,0.9497,53.03,True,64.27,1,126.0,"tekkito scores 53.03 with consistency score 84.4, recent tournament form 63.7, bancho score 53.2; reliability 0.869, activity 0.950, provisional",{}
NathanRam1918,,,49.19,,65.0,84.14,0.8688,0.9478,52.76,True,64.07,1,133.0,"NathanRam1918 scores 52.76 with consistency score 84.1, recent tournament form 65.0, bancho score 49.2; reliability 0.869, activity 0.948, provisional",{}
cloppit,,,75.92,,54.25,81.83,0.8688,0.9494,52.53,True,63.68,1,127.0,"cloppit scores 52.53 with consistency score 81.8, bancho score 75.9, recent tournament form 54.2; reliability 0.869, activity 0.949, provisional",{}
willy0214,,,59.66,,60.2,84.6,0.8688,0.9442,52.31,True,63.77,1,147.0,"willy0214 scores 52.31 with consistency score 84.6, recent tournament form 60.2, bancho score 59.7; reliability 0.869, activity 0.944, provisional",{}
killer2007,,,77.72,,51.64,87.74,0.8688,0.9459,52.13,True,63.43,1,140.0,"killer2007 scores 52.13 with consistency score 87.7, bancho score 77.7, recent tournament form 51.6; reliability 0.869, activity 0.946, provisional",{}
Zylice,,,73.98,,54.2,80.98,0.8688,0.9478,51.92,True,63.05,1,133.0,"Zylice scores 51.92 with consistency score 81.0, bancho score 74.0, recent tournament form 54.2; reliability 0.869, activity 0.948, provisional",{}
aknzx,,,70.46,,54.6,81.15,0.8688,0.9494,51.53,True,62.47,1,127.0,"aknzx scores 51.53 with consistency score 81.2, bancho score 70.5, recent tournament form 54.6; reliability 0.869, activity 0.949, provisional",{}
lifeline,,,81.94,,49.47,83.5,0.8688,0.9439,51.25,True,62.5,1,148.0,"lifeline scores 51.25 with consistency score 83.5, bancho score 81.9, recent tournament form 49.5; reliability 0.869, activity 0.944, provisional",{}
EthantrixV3,,,40.15,,66.07,80.25,0.8688,0.9497,51.1,True,61.93,1,126.0,"EthantrixV3 scores 51.10 with consistency score 80.2, recent tournament form 66.1, bancho score 40.1; reliability 0.869, activity 0.950, provisional",{}
