#REF!,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Finals ⬥ Performance Scores,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,#,,,player,pscore ▼,played,counted,avg. score*,avg. acc,highest score*,,,,,notes,,,
,,,,,,,,,,,,,,,,,,,,
,,★,#1,AU:,,mrekk,1.834,19 / 19,14 / 11,"672,486",98.37%,,DT1,S,"969,676",,"• *all scores are normalized
     (mod multipliers removed)

• performance score takes into account relative
  scores and the amount of maps played
     (essentially 'match costs' for the entire round)

• star (★) = at least 70% participation",,,
,,★,#2,PL:,,MALISZEWSKI,1.770,13 / 13,13 / 11,"618,726",98.60%,,NM5,S,"992,986",,,,,
,,★,#3,DE:,,criller,1.560,8 / 9,8 / 11,"600,415",97.92%,,FM4,S,"886,743",,,,,
,,★,#4,CA:,,xootynator,1.523,17 / 21,10 / 11,"575,158",97.16%,,HD1, S ,"966,594",,,,,
,,★,#5,KR:,,LATAJACYTUNCZYK,1.498,11 / 11,11 / 11,"518,483",97.07%,,NM5,A,"704,807",,,,,
,,★,#6,AU:,,ASecretBox,1.372,19 / 19,14 / 11,"502,619",97.53%,,FM3, S ,"932,718",,,,,
,,★,#7,PL:,,milosz,1.349,13 / 13,13 / 11,"468,074",97.39%,,NM5,A,"951,483",,,,,
,,★,#8,US:,,decaten,1.313,11 / 13,11 / 11,"473,059",97.73%,,FM1,A,"691,833",, MORE STATISTICS,,,
,,★,#9,CA:,,Zylice,1.274,21 / 21,13 / 11,"451,770",96.85%,,DT2,S,"928,125",,,,,
,,★,#10,US:,,rektygon,1.260,10 / 13,10 / 11,"463,414",97.45%,,DT1,A,"616,883",,,,,▶  qualifiers
,,★,#11,KR:,,Amamya Kokoro,1.204,9 / 11,9 / 11,"448,805",96.74%,,NM5,A,"657,065",,,,,▶  group stage
,,,#12,US:,,WindowLife,1.166,8 / 13,8 / 11,"473,995",97.27%,,FM1,A,"616,477",,,,,▶  round of 16
,,,#13,US:,,tekkito,1.142,9 / 13,9 / 11,"431,855",97.82%,,FM4,A,"548,076",,,,,▶  quarterfinals
,,★,#14,PL:,,gnahus,1.142,11 / 13,11 / 11,"405,939",97.27%,,DT1,A,"488,222",,,,,▶  semifinals
,,,#15,US:,,BoshyMan741,1.117,2 / 13,2 / 11,"792,815",97.97%,,FM2,S,"926,968",,,,,▶  finals
,,★,#16,CA:,,Wanderio,1.113,17 / 21,10 / 11,"436,665",96.62%,,NM5,A,"659,795",,,,,▶  grand finals
,,,#17,DE:,,Denzel Curry,1.092,5 / 9,5 / 11,"478,850",96.85%,,NM4,S,"665,726",,,,,▶  overall
,,,#18,US:,,EthantrixV3,1.084,5 / 13,5 / 11,"517,553",96.32%,,NM5,S,"888,972",,,,,
,,,#19,PL:,,evil grape,1.019,6 / 13,6 / 11,"485,747",97.18%,,NM5,A,"636,184",,,,,
,,,#20,AU:,,aknzx,1.016,12 / 19,9 / 11,"423,599",95.86%,,FM3,A,"607,937",, FULL FORMULA,,,
,,,#21,DE:,,yary,0.966,6 / 9,6 / 11,"392,042",96.85%,,NM5,A,"441,431",,,,,
,,,#22,KR:,,Allegrissimo,0.934,4 / 11,4 / 11,"450,355",96.56%,,NM5,A,"665,218",,,,,
,,,#23,AU:,,palr,0.910,9 / 19,5 / 11,"419,236",96.75%,,NM5,A,"496,927",,,,,
,,★,#24,KR:,,[Karcher],0.905,8 / 11,8 / 11,"349,837",94.87%,,HR3,A,"447,777",,,,,
,,,#25,CA:,,yip,0.880,11 / 21,6 / 11,"403,243",97.05%,,FM1,A,"534,499",,,,,
,,,#26,CA:,,nujabes,0.879,8 / 21,6 / 11,"420,137",94.97%,,DT2,A,"667,870",,,,,
,,,#27,KR:,,Nopekjk,0.850,3 / 11,3 / 11,"423,238",95.93%,,NM5,A,"470,063",,,,,
,,,#28,AU:,,cloppit,0.848,12 / 19,10 / 11,"358,459",96.41%,,DT4,A,"439,716",,,,,
,,,#29,DE:,,Tim Kackner,0.847,5 / 9,5 / 11,"375,873",96.64%,,FM3,A,"434,485",,,,,
,,,#30,US:,,Pezz,0.837,5 / 13,5 / 11,"410,291",97.24%,,DT1,A,"444,129",,,,,
,,,#31,PL:,,szedis,0.817,3 / 13,3 / 11,"413,535",94.86%,,NM4,A,"557,641",,view full-size image here,,,
,,,#32,PL:,,Kosiarek,0.798,4 / 13,4 / 11,"413,471",96.59%,,FM2,A,"439,315",,,,,
,,,#33,KR:,,Suyong_,0.738,4 / 11,4 / 11,"358,130",95.03%,,HD1,A,"439,396",,,,,
,,,#34,CA:,,PinkEyeFan2013,0.732,4 / 21,3 / 11,"456,713",96.80%,,DT1,A,"605,188",,,,,
,,,#35,DE:,,aimbotcone,0.701,3 / 9,3 / 11,"368,911",97.17%,,NM2,A,"467,575",,,,,
,,,#36,CA:,,steamhappy,0.697,4 / 21,2 / 11,"414,505",97.60%,,NM5,A,"462,803",,,,,
,,,#37,DE:,,ZeitFrost,0.672,3 / 9,3 / 11,"332,345",95.36%,,NM4,A,"384,147",,,,,
,,,#38,DE:,,Fleh,0.659,3 / 9,3 / 11,"373,775",93.90%,,FM4,A,"452,750",,,,,
,,,#39,DE:,,okinamo,0.659,3 / 9,3 / 11,"344,762",94.68%,,FM3,A,"454,979",,,,,
,,,#40,PL:,,hav,0.635,1 / 13,1 / 11,"553,276",98.33%,,NM5,A,"553,276",,,,,
,,,#41,US:,,[C],0.611,2 / 13,2 / 11,"383,962",97.17%,,NM5,A,"434,671",,,,,
,,,#42,KR:,,MYKEYBOARD,0.600,2 / 11,2 / 11,"379,958",96.62%,,FM1,A,"382,056",,,,,
,,,#43,KR:,,Chipori,0.592,3 / 11,3 / 11,"331,553",95.73%,,HR3,A,"393,485",,,,,
,,,#44,AU:,,Xaver,0.573,4 / 19,3 / 11,"392,560",96.73%,,FM1,A,"517,623",,,,,
,,,#45,CA:,,SparklyFairy200,0.435,2 / 21,2 / 11,"328,692",90.98%,,DT2,B,"450,751",,,,,
,,,#46,PL:,,Rafis,0.371,1 / 13,1 / 11,"315,663",97.89%,,DT1,A,"315,663",,,,,
,,,#47,AU:,,big snag,0.304,1 / 19,1 / 11,"225,168",93.20%,,DT4,A,"225,168",,,,,
