,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Finals ⬥ Player Leaderboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NM1,inoqx - DEAFHEAVEN,,,,,,,,,,NM2,The Odious Construct - Throne of Misanthropy,,,,,,,,,,NM3,EmoCosine - Cutter,,,,,,,,,,NM4,XenjeS - Inorganic Dystopia,,,,,,,,,,NM5,Shione Kitsune - <header>,,,,,,,,,,HD1,MASA WORKS DESIGN feat. Hatsune Miku & GUMI - Kitsune no Yomeiri,,,,,,,,,,HD2,"syumagi - Bad Day, Good-Bye. feat. Suisoh",,,,,,,,,,HD3,Frums - Zephyrs,,,,,,,,,,HR1,Asriel - Kegare Naki Yume,,,,,,,,,,HR2,cygnus - The Ruby of Twilight,,,,,,,,,,HR3,Marmalade butcher - Open Scar Unending,,,,,,,,,,DT1,TwoThirds & Feint - Epiphany (feat. Veela),,,,,,,,,,DT2,Decapitated - Homo Sum,,,,,,,,,,DT3,modlessflash - vertigo,,,,,,,,,,DT4,Street - Maritime Police,,,,,,,,,,FM1,BABYMETAL - Arkadia,,,,,,,,,,FM2,I love you Orchestra - Red Ocean,,,,,,,,,,FM3,TJ.hangneil + Atomic Sphere feat. Annabel - the Tower of NIRV,,,,,,,,,,FM4,FREDERIC - Sparkle Dancer,,,,,,,,,,TB,t+pazolite - Gumbarlzo!,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#1,CA:,,xootynator,,A,"653,179",98.55%,KR,,,#1,AU:,,mrekk,,S,"958,218",98.66%,DE,,,#1,AU:,,mrekk,,A,"541,736",97.90%,CA,,,#1,AU:,,mrekk,,A,"771,321",97.41%,DE,,,#1,PL:,,MALISZEWSKI,,S,"992,986",99.65%,US,,,#1,CA:,,xootynator,, S ,"1,024,590",98.97%,KR,,,,,,,,,,,,,,#1,AU:,,mrekk,,A,"651,157",98.58%,CA,,,#1,PL:,,MALISZEWSKI,,A,"638,383",99.16%,US,,,#1,US:,,rektygon,,A,"619,182",96.52%,PL,,,#1,DE:,,criller,,S,"717,784",97.78%,AU,,,#1,AU:,,mrekk,,S,"1,163,611",99.10%,CA,,,#1,CA:,,Zylice,,S,"1,113,750",98.02%,KR,,,#1,AU:,,mrekk,,S,"1,073,006",96.88%,CA,,,#1,AU:,,mrekk,,A,"690,968",97.78%,DE,,,#1,PL:,,MALISZEWSKI,NM,A,"762,624",99.04%,US,,,#1,US:,,BoshyMan741,NM,S,"926,968",97.90%,PL,,,#1,AU:,,ASecretBox,HD, S ,"988,681",98.04%,DE,,,#1,CA:,,xootynator,HD, S ,"1,023,078",99.04%,KR,,,#1,PL:,,MALISZEWSKI,NM,A,"446,245",98.73%,US
,,#2,KR:,,LATAJACYTUNCZYK,,A,"405,149",97.44%,CA,,,#2,AU:,,ASecretBox,,A,"689,473",96.40%,DE,,,#2,CA:,,xootynator,,A,"449,911",96.12%,AU,,,#2,DE:,,Denzel Curry,,S,"665,726",97.00%,AU,,,#2,PL:,,milosz,,A,"951,483",98.55%,US,,,#2,AU:,,mrekk,,A,"1,016,745",99.02%,CA,,,,,,,,,,,,,,#2,AU:,,ASecretBox,,A,"575,455",97.65%,CA,,,#2,US:,,rektygon,,A,"593,948",98.72%,PL,,,#2,PL:,,MALISZEWSKI,,A,"513,796",97.91%,US,,,#2,PL:,,MALISZEWSKI,,S,"686,839",98.92%,US,,,#2,PL:,,MALISZEWSKI,,A,"953,672",98.70%,US,,,#2,CA:,,nujabes,,A,"801,444",95.83%,KR,,,#2,CA:,,Zylice,,A,"715,247",97.72%,AU,,,#2,PL:,,gnahus,,A,"566,787",97.91%,US,,,#2,US:,,decaten,NM,A,"691,833",99.39%,PL,,,#2,CA:,,xootynator,HR,A,"730,269",97.50%,AU,,,#2,AU:,,mrekk,NM,S,"936,647",98.32%,DE,,,#2,PL:,,MALISZEWSKI,NM,A,"974,540",99.46%,US,,,#2,PL:,,gnahus,NM,A,"410,570",96.23%,US
,,#3,KR:,,[Karcher],,A,"393,935",98.47%,CA,,,#3,AU:,,aknzx,,A,"520,048",96.61%,DE,,,#3,AU:,,ASecretBox,,A,"449,405",97.51%,CA,,,#3,KR:,,LATAJACYTUNCZYK,,S,"566,016",96.67%,CA,,,#3,US:,,EthantrixV3,,S,"888,972",96.44%,PL,,,#3,CA:,,xootynator,,A,"695,873",98.87%,AU,,,,,,,,,,,,,,#3,US:,,EthantrixV3,,A,"575,071",96.63%,PL,,,#3,US:,,WindowLife,,A,"578,845",97.74%,PL,,,#3,US:,,tekkito,,A,"443,951",96.37%,PL,,,#3,US:,,decaten,,A,"682,282",97.16%,PL,,,#3,PL:,,milosz,,A,"748,734",98.91%,US,,,#3,KR:,,LATAJACYTUNCZYK,,B,"691,405",92.35%,CA,,,#3,CA:,,nujabes,,B,"690,432",91.10%,AU,,,#3,PL:,,milosz,,S,"565,253",97.90%,US,,,#3,AU:,,ASecretBox,HD,A,"690,149",99.28%,CA,,,#3,CA:,,Wanderio,NM,A,"635,594",98.37%,AU,,,#3,DE:,,criller,NM,A,"858,233",98.58%,AU,,,#3,DE:,,criller,NM,S,"886,743",98.88%,AU,,,#3,US:,,decaten,NM,A,"383,217",96.32%,PL
,,#4,CA:,,Zylice,,A,"388,516",97.67%,KR,,,#4,DE:,,aimbotcone,,A,"467,575",98.97%,AU,,,#4,KR:,,LATAJACYTUNCZYK,,A,"437,546",98.24%,CA,,,#4,PL:,,szedis,,A,"557,641",94.64%,US,,,#4,CA:,,Zylice,,A,"707,256",97.48%,AU,,,#4,KR:,,LATAJACYTUNCZYK,,A,"676,344",98.99%,CA,,,,,,,,,,,,,,#4,DE:,,criller,,A,"564,075",96.48%,AU,,,#4,US:,,Pezz,,A,"471,673",97.54%,PL,,,#4,US:,,decaten,,A,"401,379",96.91%,PL,,,#4,AU:,,mrekk,,S,"651,505",97.56%,CA,,,#4,US:,,rektygon,,A,"740,259",98.13%,PL,,,#4,CA:,,SparklyFairy200,,B,"540,901",91.90%,KR,,,#4,AU:,,ASecretBox,,A,"519,019",94.81%,CA,,,#4,DE:,,criller,,A,"545,338",98.72%,AU,,,#4,US:,,WindowLife,NM,A,"616,477",98.35%,PL,,,#4,AU:,,mrekk,NM,A,"621,465",98.85%,CA,,,#4,AU:,,aknzx,NM,A,"607,937",97.73%,DE,,,#4,CA:,,xootynator,HD,A,"844,168",98.46%,AU,,,#4,US:,,tekkito,HD,A,"380,367",98.05%,PL
