#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Grand Finals ⬥ Mappool Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,map,artist - title,,,,best player,mods,,score,acc,,,,best team,score,acc,,,avg. score,avg. acc,picks,,,bans,,,pick/ban visualization,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NM1,Falcom Sound Team jdk - Azure Destiny,,,,MALISZEWSKI,,A,"651,617",99.41%,,,,Poland,"2,039,525",98.92%,,,"465,879",98.72%,,2,67%,,0,0%,p,p,
,,NM2,STARKILL - Be Dead or Die,,,,mrekk,,S,"979,393",99.39%,,,,Australia,"2,141,877",97.39%,,,"490,611",96.72%,,1,33%,,0,0%,p,,
,,NM3,Cansol - Out of Place,,,,MALISZEWSKI,,A,"484,703",97.65%,,,,United States,"1,492,490",96.26%,,,"336,619",95.63%,,2,67%,,0,0%,p,p,
,,NM4,Billain - Afterburner (Cut Ver.),,,,,,,,,,,,,,,,,,,,0,0%,,2,67%,b,b,
,,NM5,Kikuo - Mono wo Parapara Kowasu,,,,MALISZEWSKI,,A,"505,903",96.53%,,,,Poland,"1,664,047",95.63%,,,"366,908",94.98%,,1,33%,,1,33%,p,b,
,,HD1,youman - R.I.P.,,,,MALISZEWSKI,, S ,"1,026,831",99.13%,,,,Poland,"3,043,560",98.65%,,,"559,222",98.26%,,2,67%,,1,33%,p,p,b
,,HD2,Kenshi Yonezu - Shitodo Seiten Daimeiwaku,,,,,,,,,,,,,,,,,,,,0,0%,,3,100%,b,b,b
,,HD3,BlackY - PANAGIA,,,,mrekk,,A,"763,565",96.63%,,,,Australia,"1,627,948",95.06%,,,"360,335",95.44%,,3,100%,,0,0%,p,p,p
,,HR1,Ave Mujica - DIVINE,,,,,,,,,,,,,,,,,,,,0,0%,,0,0%,,,
,,HR2,METAROOM - EMBRYOGLYPH,,,,decaten,,A,"596,567",97.57%,,,,United States,"1,696,992",95.88%,,,"398,840",95.45%,,2,67%,,1,33%,p,p,b
,,HR3,tuki. - Guilty,,,,MALISZEWSKI,,A,"915,488",98.43%,,,,Poland,"2,300,695",98.22%,,,"453,549",97.84%,,3,100%,,0,0%,p,p,p
,,DT1,fhana - Wonder Stella,,,,milosz,,A,"827,613",98.99%,,,,Australia,"2,217,857",97.16%,,,"527,007",97.59%,,2,67%,,1,33%,p,p,b
,,DT2,airportexpress feat.Itsuneko - BIRTH,,,,rektygon,,A,"810,646",95.16%,,,,United States,"2,008,906",94.23%,,,"441,114",94.42%,,3,100%,,0,0%,p,p,p
,,DT3,DJ SHARPNEL - Pacific girls,,,,WindowLife,,A,"900,174",97.30%,,,,United States,"1,896,695",92.86%,,,"417,158",92.70%,,1,33%,,2,67%,p,b,b
,,DT4,Aiobahn - resonance feat. KOCHO (KARUT Remix),,,,mrekk,,S,"759,825",98.20%,,,,Australia,"1,871,176",96.48%,,,"442,291",96.30%,,2,67%,,0,0%,p,p,
,,FM1,DJ SHARPNEL - Mmmmmmm,,,,MALISZEWSKI,NM,A,"566,756",99.35%,,,,Poland,"1,687,353",97.98%,,,"385,827",97.89%,,3,100%,,0,0%,p,p,p
,,FM2,beatMARIO - Night of Knights,,,,Kosiarek,NM,A,"787,951",98.91%,,,,United States,"1,872,800",98.23%,,,"417,792",97.59%,,3,100%,,0,0%,p,p,p
,,FM3,Inferi - The Abhorrent Art,,,,,,,,,,,,,,,,,,,,0,0%,,1,33%,b,,
,,FM4,Kobaryo - Kick To The Sky,,,,,,,,,,,,,,,,,,,,0,0%,,0,0%,,,
,,TB,Imperial Circus Dead Decadence - Yuuaku no Inori - Anima immortalis est. -,,,,WindowLife,NM,A,"299,243",96.92%,,,,United States,"1,066,054",95.12%,,,"255,581",94.53%,,1,33%,,0,0%,p,,
