#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Group Stage ⬥ Mappool Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,map,artist - title,,,,best player,mods,,score,acc,,,,best team,score,acc,,,avg. score,avg. acc,picks,,,bans,,,pick/ban visualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NM1,mor ve otesi - Forsa,,,,Raikouhou,,S,"998,134",99.94%,,,,China,"3,196,938",99.64%,,,"651,664",99.29%,,8,17%,,6,13%,p,p,p,p,p,p,p,p,b,b,b,b,b,b,,,,,,,,,,,,,,,,,,
,,NM2,RINYA - Kyokugen BON Odori,,,,[MG]Arnold24x24,,SS,"1,009,801",100.00%,,,,Chile,"3,914,809",99.28%,,,"732,263",98.08%,,38,79%,,2,4%,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
,,NM3,VESPERBELL - Chocolate Disco,,,,NO37,,S,"994,792",99.87%,,,,Sweden,"3,368,192",98.36%,,,"611,370",97.00%,,28,58%,,11,23%,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,b,b,b,b
,,NM4,Vorso - Heliosphere,,,,alfiu,,S,"975,228",99.34%,,,,Romania,"3,634,630",98.12%,,,"710,136",96.93%,,27,56%,,3,6%,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,b,b,b,,
,,NM5,Frog96 - Letter to the Black World,,,,RafaMat,,S,"987,229",99.61%,,,,Hong Kong,"3,275,998",99.30%,,,"643,219",98.37%,,22,46%,,3,6%,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,b,b,b,,,,,,,
,,HD1,Luna Fozer - Overjoy * OVERDOSE!!,,,,[MG]Arnold24x24,, S ,"1,054,589",99.83%,,,,Romania,"3,901,299",98.54%,,,"724,022",97.80%,,25,52%,,5,10%,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,b,b,b,b,b,,
,,HD2,I love you orchestra - Coconut Love,,,,scylla,, S ,"1,043,766",99.56%,,,,Sweden,"3,004,970",98.53%,,,"559,554",96.48%,,19,40%,,19,40%,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,b,b,b,b,b,b,b,b,b,b,b,b,b
,,HR1,alien3 - alien friend request,,,,lolol235,,S,"1,076,599",99.37%,,,,Brazil,"4,192,172",98.61%,,,"721,494",98.12%,,14,29%,,6,13%,p,p,p,p,p,p,p,p,p,p,p,p,p,p,b,b,b,b,b,b,,,,,,,,,,,,
,,HR2,MEMODEMO - Showoff Showdown,,,,Raikouhou,,S,"1,064,803",99.04%,,,,Sweden,"3,641,497",98.13%,,,"725,024",97.05%,,21,44%,,4,8%,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,b,b,b,b,,,,,,,
,,DT1,R-note - Desire Shooting,,,,misha awa,,S,"1,219,583",99.87%,,,,Philippines,"4,345,402",99.18%,,,"908,753",98.79%,,14,29%,,1,2%,p,p,p,p,p,p,p,p,p,p,p,p,p,p,b,,,,,,,,,,,,,,,,,
,,DT2,Denkishiki Karen Ongaku Shuudan - Elder Things,,,,NINERIK,,S,"1,188,823",99.74%,,,,Brazil,"4,304,459",96.93%,,,"830,638",96.37%,,23,48%,,22,46%,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,b,b,b,b,b,b,b,b,b
,,DT3,ZANI - Glass,,,,Raikouhou,,S,"1,202,749",99.91%,,,,Austria,"4,675,184",99.10%,,,"849,007",98.06%,,28,58%,,1,2%,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,b,,,
,,FM1,PSYQUI - Eyes on me feat. Such,,,,Nyash,HR,S,"1,078,793",99.44%,,,,France,"3,872,565",98.95%,,,"626,355",96.70%,,24,50%,,5,10%,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,b,b,b,b,b,,,
,,FM2,EBIMAYO - NIGHTMARE INVITATION,,,,NINERIK,HDHR, S ,"1,133,806",99.22%,,,,New Zealand,"3,821,342",99.26%,,,"752,910",98.51%,,27,56%,,7,15%,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,b,b,b,b,b
,,FM3,nobodyknows+ - Imaike Samba,,,,ozbert,HD, S ,"1,052,265",99.68%,,,,Brazil,"3,288,695",99.60%,,,"714,521",99.41%,,7,15%,,1,2%,p,p,p,p,p,p,p,b,,,,,,,,,,,,,,,,,,,,,,,,
,,TB,Hayakore Tatsumi - Destin Victorica (Harddance Mix) (Nightcore Mix),,,,PLOXARU,NM,A,"745,693",99.80%,,,,Spain,"2,230,874",99.09%,,,"518,458",99.17%,,5,10%,,0,0%,p,p,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,,
