#REF!,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Group Stage ⬥ Performance Scores,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,#,,,player,pscore ▼,played,counted,avg. score*,avg. acc,highest score*,,,,,notes,,,
,,,,,,,,,,,,,,,,,,,,
,,★,#1,PE:,,[MG]Arnold24x24,1.659,21 / 21,10 / 11,"856,935",99.11%,,NM2,SS,"1,009,801",,"• *all scores are normalized
     (mod multipliers removed)

• performance score takes into account relative
  scores and the amount of maps played
     (essentially 'match costs' for the entire round)

• star (★) = at least 70% participation",,,
,,★,#2,SE:,,scylla,1.658,23 / 23,12 / 11,"833,763",98.79%,,HD2, S ,"984,685",,,,,
,,★,#3,KZ:,,Kamensh1k,1.631,19 / 19,10 / 11,"849,165",98.61%,,NM2,S,"990,255",,,,,
,,★,#4,HK:,,misha awa,1.629,25 / 25,11 / 11,"835,573",99.04%,,DT1,S,"1,016,319",,,,,
,,★,#5,TR:,,Raikouhou,1.619,14 / 18,9 / 11,"964,366",99.40%,,NM2,SS,"1,008,601",,,,,
,,★,#6,CL:,,Intercambing,1.538,21 / 21,13 / 11,"792,421",98.68%,,DT3,S,"987,558",,,,,
,,★,#7,PH:,,NathanRam1918,1.526,20 / 22,11 / 11,"834,805",98.10%,,FM3,S,"998,311",,,,,
,,★,#8,RO:,,badeu,1.518,16 / 20,9 / 11,"862,348",98.53%,,NM3,S,"984,695",, MORE STATISTICS,,,
,,★,#9,NO:,,NINERIK,1.472,17 / 17,13 / 11,"818,996",99.04%,,DT1,S,"1,013,390",,,,,
,,★,#10,CN:,,lolol235,1.464,21 / 21,14 / 11,"788,813",98.35%,,FM2, SS ,"1,000,500",,,,,▶  qualifiers
,,★,#11,NZ:,,Kyujin,1.455,20 / 20,12 / 11,"794,878",98.29%,,FM2,SS,"1,001,000",,,,,▶  group stage
,,★,#12,PT:,,uatzap,1.440,24 / 24,11 / 11,"741,730",97.92%,,HD1, S ,"952,523",,,,,▶  round of 16
,,★,#13,CN:,,lolol233,1.438,21 / 21,14 / 11,"774,932",98.36%,,DT1,S,"992,396",,,,,▶  quarterfinals
,,★,#14,RO:,,etn,1.422,19 / 20,10 / 11,"774,926",98.64%,,NM2,S,"997,259",,,,,▶  semifinals
,,★,#15,AR:,,jackzebra,1.415,21 / 22,13 / 11,"736,286",98.40%,,DT1,S,"1,000,415",,,,,▶  finals
,,★,#16,AT:,,fedoragoose,1.414,21 / 21,10 / 11,"741,058",97.39%,,DT3,S,"981,616",,,,,▶  grand finals
,,★,#17,CN:,,Crystal,1.408,17 / 21,12 / 11,"804,832",98.24%,,FM2,S,"993,064",,,,,▶  overall
,,,#18,TR:,,Shinkiro,1.387,12 / 18,10 / 11,"816,070",98.42%,,DT3,S,"971,369",,,,,
,,,#19,BR:,,Nyash,1.377,15 / 22,9 / 11,"798,879",98.53%,,FM2,S,"985,733",,,,,
,,★,#20,VN:,,def,1.376,22 / 22,13 / 11,"752,017",98.64%,,DT1,S,"998,350",, FULL FORMULA,,,
,,★,#21,BR:,,-izzy,1.370,20 / 22,14 / 11,"730,480",98.10%,,FM3,S,"999,191",,,,,
,,★,#22,CL:,,alfiu,1.364,20 / 21,12 / 11,"712,357",98.79%,,NM2,S,"989,069",,,,,
