,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Group Stage ⬥ Player Leaderboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NM1,mor ve otesi - Forsa,,,,,,,,,,NM2,RINYA - Kyokugen BON Odori,,,,,,,,,,NM3,VESPERBELL - Chocolate Disco,,,,,,,,,,NM4,Vorso - Heliosphere,,,,,,,,,,NM5,Frog96 - Letter to the Black World,,,,,,,,,,HD1,Luna Fozer - Overjoy * OVERDOSE!!,,,,,,,,,,HD2,I love you orchestra - Coconut Love,,,,,,,,,,HR1,alien3 - alien friend request,,,,,,,,,,HR2,MEMODEMO - Showoff Showdown,,,,,,,,,,DT1,R-note - Desire Shooting,,,,,,,,,,DT2,Denkishiki Karen Ongaku Shuudan - Elder Things,,,,,,,,,,DT3,ZANI - Glass,,,,,,,,,,FM1,PSYQUI - Eyes on me feat. Such,,,,,,,,,,FM2,EBIMAYO - NIGHTMARE INVITATION,,,,,,,,,,FM3,nobodyknows+ - Imaike Samba,,,,,,,,,,TB,Hayakore Tatsumi - Destin Victorica (Harddance Mix) (Nightcore Mix),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#1,TR:,,Raikouhou,,S,"998,134",99.94%,UY,,,#1,PE:,,[MG]Arnold24x24,,SS,"1,009,801",100.00%,UA,,,#1,CL:,,NO37,,S,"994,792",99.87%,FR,,,#1,CL:,,alfiu,,S,"975,228",99.34%,ES,,,#1,PT:,,RafaMat,,S,"987,229",99.61%,PE,,,#1,PE:,,[MG]Arnold24x24,, S ,"1,054,589",99.83%,UA,,,#1,SE:,,scylla,, S ,"1,043,766",99.56%,PH,,,#1,CN:,,lolol235,,S,"1,076,599",99.37%,TH,,,#1,TR:,,Raikouhou,,S,"1,064,803",99.04%,UY,,,#1,HK:,,misha awa,,S,"1,219,583",99.87%,GR,,,#1,NO:,,NINERIK,,S,"1,188,823",99.74%,CN,,,#1,TR:,,Raikouhou,,S,"1,202,749",99.91%,BE,,,#1,BR:,,Nyash,HR,S,"1,078,793",99.44%,NL,,,#1,NO:,,NINERIK,HDHR, S ,"1,133,806",99.22%,TH,,,#1,NZ:,,ozbert,HD, S ,"1,052,265",99.68%,FI,,,#1,UY:,,PLOXARU,NM,A,"745,693",99.80%,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#2,CN:,,lolol235,,S,"995,741",99.88%,TH,,,#2,TR:,,Raikouhou,,SS,"1,008,601",100.00%,BE,,,#2,AT:,,Teppi Fangirl,,S,"994,400",99.87%,TH,,,#2,RO:,,badeu,,S,"973,430",99.27%,NZ,,,#2,HK:,,misha awa,,S,"980,839",99.52%,SG,,,#2,FI:,,Amasetic,, S ,"1,054,540",99.83%,RO,,,#2,SE:,,scylla,, S ,"1,041,887",99.56%,NL,,,#2,TR:,,Raikouhou,,S,"1,068,292",99.12%,BE,,,#2,BR:,,Nyash,,S,"1,061,774",99.04%,PH,,,#2,VN:,,Another Guy,,S,"1,218,215",99.87%,MY,,,#2,TW:,,willy0214,,S,"1,181,120",99.58%,DK,,,#2,PE:,,[MG]Arnold24x24,,S,"1,199,399",99.82%,KZ,,,#2,NZ:,,Saiyku,HR,S,"1,050,181",98.77%,RO,,,#2,TR:,,Raikouhou,HR,S,"1,089,095",99.72%,UY,,,#2,BE:,,Hanori,HD, S ,"1,025,047",99.05%,AR,,,#2,HK:,,misha awa,HD,A,"732,594",99.51%,GR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#3,RO:,,origin_,,S,"995,627",99.88%,FI,,,#3,NO:,,NINERIK,,SS,"1,008,101",100.00%,TH,,,#3,AT:,,Teppi Fangirl,,S,"987,393",99.67%,CN,,,#3,PH:,,ZaNy_,,S,"970,048",99.27%,BR,,,#3,HK:,,flyond,,S,"979,260",99.42%,GR,,,#3,HK:,,misha awa,, S ,"1,047,477",99.66%,SG,,,#3,SE:,,scylla,, S ,"1,040,020",99.48%,BR,,,#3,CN:,,lolol234,,S,"1,067,685",99.12%,NO,,,#3,SE:,,scylla,,S,"1,046,894",98.69%,PH,,,#3,NO:,,NINERIK,,S,"1,216,068",99.87%,CN,,,#3,KZ:,,Kamensh1k,,S,"1,177,906",99.48%,UA,,,#3,TR:,,Raikouhou,,S,"1,199,184",99.82%,AR,,,#3,BR:,,Coreanmaluco,HR,S,"1,048,827",98.65%,SE,,,#3,BR:,,Nyash,HR,S,"1,084,306",99.59%,PH,,,#3,FI:,,AllyrD,NM,SS,"1,002,900",100.00%,NZ,,,#3,CL:,,Intercambing,NM,A,"724,297",99.62%,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#4,TH:,,Lesperry,,S,"993,618",99.80%,AT,,,#4,TR:,,Raikouhou,,S,"1,007,898",99.94%,AR,,,#4,CL:,,NO37,,S,"986,796",99.67%,IT,,,#4,ID:,,GNX,,S,"965,675",99.09%,FI,,,#4,PT:,,RafaMat,,S,"979,209",99.42%,KZ,,,#4,ES:,,ESCRUPULILLO,, S ,"1,047,038",99.66%,CL,,,#4,AT:,,Teppi Fangirl,, S ,"1,039,584",99.48%,TH,,,#4,CL:,,Intercambing,,S,"1,064,552",99.06%,FR,,,#4,TW:,,GAO HAO,,S,"1,046,676",98.61%,MY,,,#4,PH:,,zonelouise,,S,"1,213,782",99.73%,SE,,,#4,AR:,,Seiong,,S,"1,175,068",99.43%,TR,,,#4,TR:,,Raikouhou,,S,"1,196,733",99.74%,UY,,,#4,HK:,,misha awa,HD, S ,"1,041,456",99.44%,GR,,,#4,CN:,,lolol233,HR,S,"1,075,385",99.38%,TH,,,#4,BR:,,-izzy,NM,S,"999,191",99.89%,PH,,,#4,SG:,,Mekeyo,NM,A,"692,558",99.06%,HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
