,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Group Stage ⬥ Team Hiscores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NM1,mor ve otesi - Forsa,,,,,,,,,,,NM2,RINYA - Kyokugen BON Odori,,,,,,,,,,,NM3,VESPERBELL - Chocolate Disco,,,,,,,,,,,NM4,Vorso - Heliosphere,,,,,,,,,,,NM5,Frog96 - Letter to the Black World,,,,,,,,,,,HD1,Luna Fozer - Overjoy * OVERDOSE!!,,,,,,,,,,,HD2,I love you orchestra - Coconut Love,,,,,,,,,,,HR1,alien3 - alien friend request,,,,,,,,,,,HR2,MEMODEMO - Showoff Showdown,,,,,,,,,,,DT1,R-note - Desire Shooting,,,,,,,,,,,DT2,Denkishiki Karen Ongaku Shuudan - Elder Things,,,,,,,,,,,DT3,ZANI - Glass,,,,,,,,,,,FM1,PSYQUI - Eyes on me feat. Such,,,,,,,,,,,FM2,EBIMAYO - NIGHTMARE INVITATION,,,,,,,,,,,FM3,nobodyknows+ - Imaike Samba,,,,,,,,,,,TB,Hayakore Tatsumi - Destin Victorica (Harddance Mix) (Nightcore Mix),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#1,,China,lolol235,,S,"995,741",99.88%,"3,196,938",TH,,,#1,,Chile,alfiu,,S,"989,069",99.51%,"3,914,809",IT,,,#1,,Sweden,scylla,,S,"956,767",98.79%,"3,368,192",PH,,,#1,,Romania,badeu,,S,"973,430",99.27%,"3,634,630",NZ,,,#1,,Hong Kong,flyond,,S,"979,260",99.42%,"3,275,998",GR,,,#1,,Romania,badeu,, S ,"1,005,017",98.38%,"3,901,299",ID,,,#1,,Sweden,scylla,, S ,"1,043,766",99.56%,"3,004,970",PH,,,#1,,Brazil,Nyash,,S,"1,063,188",98.99%,"4,192,172",NL,,,#1,,Sweden,scylla,,S,"1,046,894",98.69%,"3,641,497",PH,,,#1,,Philippines,zonelouise,,S,"1,213,782",99.73%,"4,345,402",SE,,,#1,,Brazil,tayko,,S,"1,111,959",97.86%,"4,304,459",SE,,,#1,,Austria,z9a,,S,"1,187,137",99.56%,"4,675,184",TH,,,#1,,France,fiaee,HD, S ,"1,035,368",99.33%,"3,872,565",CL,,,#1,,New Zealand,Saiyku,HR,S,"1,066,945",99.16%,"3,821,342",FI,,,#1,,Brazil,-izzy,NM,S,"999,191",99.89%,"3,288,695",PH,,,#1,,Spain,A L E P H,NM,A,"682,729",99.73%,"2,230,874",CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,lolol233,,A,"782,259",99.33%,,,,,,,,Gonzah,,S,"985,097",99.51%,,,,,,,,Lightningfox,,S,"943,386",98.44%,,,,,,,,Kehest,,S,"911,998",97.45%,,,,,,,,F2X,,S,"978,736",99.40%,,,,,,,,Kehest,, S ,"998,803",98.29%,,,,,,,,Lightningfox,,A,"713,588",97.41%,,,,,,,,shwq,,S,"1,050,774",98.68%,,,,,,,,Andros,,S,"1,006,080",97.56%,,,,,,,,LordGabriel,,S,"1,193,187",99.40%,,,,,,,,Coreanmaluco,,S,"1,102,098",97.59%,,,,,,,,Akuma no Tenshi,,S,"1,180,116",99.39%,,,,,,,,calangi,NM,S,"986,694",99.55%,,,,,,,,5aiyku,HD, S ,"1,039,641",99.52%,,,,,,,,Coreanmaluco,NM,S,"998,350",99.89%,,,,,,,,ESCRUPULILLO,NM,A,"662,301",99.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ledeau_Fox,,S,"755,516",99.56%,,,,,,,,Intercambing,,S,"972,543",99.08%,,,,,,,,Fejlan,,S,"941,911",98.36%,,,,,,,,etn,,S,"906,358",97.51%,,,,,,,,misha awa,,A,"664,047",99.76%,,,,,,,,origin_,,A,"989,555",98.51%,,,,,,,,Fejlan,,A,"636,940",99.04%,,,,,,,,-izzy,,S,"1,046,974",98.55%,,,,,,,,Grippeh,,A,"908,354",98.78%,,,,,,,,NathanRam1918,,S,"1,187,490",99.20%,,,,,,,,VitorSkull,,S,"1,077,188",96.98%,,,,,,,,fedoragoose,,S,"1,177,939",99.30%,,,,,,,,Satsukiiii,NM,S,"978,266",99.41%,,,,,,,,Kyujin,NM,SS,"1,001,000",100.00%,,,,,,,,kagiura,HD,A,"739,861",99.55%,,,,,,,,BabyScylla,HD,A,"497,153",98.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Crystal,,A,"663,422",99.77%,,,,,,,,xXChokgamerXx,,S,"968,100",99.02%,,,,,,,,trumpatino69,,A,"526,128",97.86%,,,,,,,,origin_,,A,"842,844",98.27%,,,,,,,,ming0328ming,,A,"653,955",98.65%,,,,,,,,etn,,A,"907,924",99.00%,,,,,,,,Guyra_,,A,"610,676",98.09%,,,,,,,,Coreanmaluco,,A,"1,031,236",98.21%,,,,,,,,trumpatino69,,A,"680,169",97.49%,,,,,,,,Jitterish,,A,"750,943",98.37%,,,,,,,,Kurumiw,,S,"1,013,214",95.30%,,,,,,,,z10a,,S,"1,129,992",98.16%,,,,,,,,Musty,HR,A,"872,237",97.53%,,,,,,,,ozbert,HD,A,"713,756",98.36%,,,,,,,,Nyash,HR,A,"551,293",99.05%,,,,,,,,marbl,NM,A,"388,691",98.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#2,,Brazil,Coreanmaluco,,S,"991,901",99.76%,"3,193,963",PH,,,#2,,Netherlands,perthed again,,S,"983,270",99.39%,"3,840,594",SE,,,#2,,Kazakhstan,Ternafis,,S,"979,059",99.41%,"3,310,292",PE,,,#2,,Singapore,Eagle5324,,S,"936,164",98.36%,"3,578,319",JP,,,#2,,Singapore,Dawnwing,,S,"941,537",98.45%,"3,121,527",GR,,,#2,,Brazil,kagiura,, S ,"1,028,022",99.06%,"3,823,115",NL,,,#2,,Philippines,NathanRam1918,, S ,"1,036,425",99.39%,"2,885,248",NL,,,#2,,China,lolol235,,S,"1,076,599",99.37%,"3,704,953",TH,,,#2,,Japan,shouponpon,,A,"1,007,535",97.86%,"3,596,477",HK,,,#2,,Norway,NINERIK,,S,"1,213,582",99.80%,"4,294,153",TH,,,#2,,Argentina,Tofy,,S,"1,136,923",98.54%,"4,247,279",UY,,,#2,,Netherlands,John ethken,,S,"1,177,081",99.39%,"4,489,755",BR,,,#2,,Brazil,Nyash,HR,S,"1,078,793",99.44%,"3,392,026",NL,,,#2,,China,lolol233,HR,S,"1,075,385",99.38%,"3,803,336",TH,,,#2,,New Zealand,ozbert,HD, S ,"1,052,265",99.68%,"3,247,084",FI,,,#2,,Singapore,Mekeyo,NM,A,"692,558",99.06%,"2,206,536",HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-izzy,,A,"911,570",99.61%,,,,,,,,John ethken,,S,"964,098",98.88%,,,,,,,,shiyumi,,S,"963,880",99.00%,,,,,,,,qstronaut,,S,"921,749",97.90%,,,,,,,,Mekeyo,,S,"883,043",96.49%,,,,,,,,-izzy,, S ,"1,001,837",98.38%,,,,,,,,Rammu,,A,"696,137",97.39%,,,,,,,,Crystal,,S,"919,040",98.96%,,,,,,,,YMD,,S,"942,089",95.47%,,,,,,,,papercandle,,S,"1,206,355",99.54%,,,,,,,,viciobylike,,S,"1,131,136",98.39%,,,,,,,,Wind Tales,,S,"1,146,423",98.69%,,,,,,,,-izzy,NM,S,"965,567",98.99%,,,,,,,,lolol235,HD, SS ,"1,060,530",100.00%,,,,,,,,Kyujin,NM,S,"990,937",99.68%,,,,,,,,Dawnwing,NM,A,"553,439",99.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Nyash,,A,"673,070",99.54%,,,,,,,,Wind Tales,,S,"947,445",98.41%,,,,,,,,Kamensh1k,,S,"941,087",98.41%,,,,,,,,Tebi,,S,"872,983",96.53%,,,,,,,,GSBlank,,S,"685,561",98.72%,,,,,,,,Kurumiw,, S ,"1,001,193",98.38%,,,,,,,,ZaNy_,,A,"683,605",97.35%,,,,,,,,lolol234,,A,"911,012",98.62%,,,,,,,,Homutan,,A,"839,970",98.10%,,,,,,,,Melvr,,S,"1,183,340",99.20%,,,,,,,,jackzebra,,S,"1,129,400",98.42%,,,,,,,,perthed again,,S,"1,129,945",98.16%,,,,,,,,Coreanmaluco,HR,S,"746,232",97.78%,,,,,,,,Crystal,NM,S,"993,064",99.79%,,,,,,,,Saiyku,HR,S,"721,565",99.09%,,,,,,,,Tebi,NM,A,"492,093",98.93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,kagiura,,A,"617,422",99.54%,,,,,,,,John Zenith,,S,"945,781",98.29%,,,,,,,,Ravexi,,A,"426,266",97.15%,,,,,,,,Dawnwing,,S,"847,423",95.62%,,,,,,,,Tebi,,A,"611,386",98.28%,,,,,,,,Nyash,,A,"792,063",98.40%,,,,,,,,Icarussy,,A,"469,081",94.82%,,,,,,,,lolol233,,S,"798,302",98.85%,,,,,,,,RafuNa,,A,"806,883",97.86%,,,,,,,,Pinguinzi,,A,"690,876",98.19%,,,,,,,,Seiong,,S,"849,820",98.68%,,,,,,,,John Zenith,,A,"1,036,306",96.58%,,,,,,,,VitorSkull,HD, S ,"601,434",97.87%,,,,,,,,pr1mary,NM,A,"674,357",99.10%,,,,,,,,pii,NM,A,"482,317",98.89%,,,,,,,,GSBlank,NM,A,"468,446",99.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#3,,Finland,AllyrD,,A,"726,828",99.85%,"2,852,376",RO,,,#3,,Spain,A L E P H,,A,"954,057",99.13%,"3,671,047",CL,,,#3,,Chile,NO37,,S,"994,792",99.87%,"3,248,157",FR,,,#3,,Finland,AllyrD,,S,"962,932",99.00%,"3,521,024",RO,,,#3,,Austria,z10a,,S,"950,982",98.65%,"3,112,873",CN,,,#3,,Thailand,-Kedama,, S ,"1,023,374",99.06%,"3,749,752",CN,,,#3,,Indonesia,Hakui Koyori,,A,"787,643",97.52%,"2,859,488",FI,,,#3,,New Zealand,5aiyku,,A,"1,017,832",98.92%,"3,526,989",RO,,,#3,,Brazil,Nyash,,S,"1,061,774",99.04%,"3,459,079",PH,,,#3,,Hong Kong,misha awa,,S,"1,211,220",99.60%,"4,270,573",JP,,,#3,,Sweden,Grippeh,,S,"1,115,640",97.97%,"4,143,999",PH,,,#3,,Romania,origin_,,S,"1,177,664",99.39%,"4,224,837",ID,,,#3,,Austria,fedoragoose,NM,S,"978,714",99.33%,"3,314,745",CN,,,#3,,Brazil,-izzy,HD, S ,"1,050,721",99.72%,"3,784,505",NL,,,#3,,Philippines,NathanRam1918,NM,S,"998,311",99.89%,"3,133,151",BR,,,#3,,Hong Kong,misha awa,HD,A,"732,594",99.51%,"2,183,600",GR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,savilju,,A,"719,417",99.54%,,,,,,,,BabyScylla,,S,"933,096",97.87%,,,,,,,,Intercambing,,A,"916,618",98.80%,,,,,,,,Kalanluu,,S,"928,751",98.18%,,,,,,,,fedoragoose,,S,"776,420",98.43%,,,,,,,,Lesperry,, S ,"973,878",97.35%,,,,,,,,FAW,,A,"758,484",98.61%,,,,,,,,ozbert,,S,"985,901",96.79%,,,,,,,,Coreanmaluco,,S,"1,033,982",98.17%,,,,,,,,F2X,,A,"1,202,979",99.64%,,,,,,,,trumpatino69,,S,"1,103,819",97.62%,,,,,,,,etn,,S,"1,164,204",99.01%,,,,,,,,z10a,NM,S,"940,283",98.20%,,,,,,,,VitorSkull,NM,S,"984,359",99.52%,,,,,,,,Icarussy,NM,S,"993,639",99.74%,,,,,,,,F2X,NM,A,"528,222",99.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
