#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Group Stage ⬥ Team Statistics,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,#,,,team,avg. %max ▼,avg. score,,,w,l,pf,pa,pd,,,matches,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,#1,,CN,China,0.8635,"3,299,075",,,3,0,15,6,+9,,,5 - 1,vs,,5 - 3,vs,,5 - 2,vs
,,#2,,NO,Norway,0.8575,"3,273,961",,,2,1,12,5,+7,,,5 - 0,vs,,5 - 0,vs,,2 - 5,vs
,,#3,,PH,Philippines,0.8440,"3,114,862",,,2,1,13,9,+4,,,5 - 1,vs,,3 - 5,vs,,5 - 3,vs
,,#4,,CL,Chile,0.8424,"3,077,665",,,2,1,14,7,+7,,,4 - 5,vs,,5 - 2,vs,,5 - 0,vs
,,#5,,BR,Brazil,0.8294,"3,143,022",,,2,1,13,9,+4,,,5 - 2,vs,,5 - 2,vs,,3 - 5,vs
,,#6,,SE,Sweden,0.8145,"3,018,041",,,1,2,10,13,-3,,,3 - 5,vs,,2 - 5,vs,,5 - 3,vs
,,#7,,RO,Romania,0.8137,"3,142,971",,,1,2,9,11,-2,,,1 - 5,vs,,3 - 5,vs,,5 - 1,vs
,,#8,,NZ,New Zealand,0.8125,"3,085,417",,,3,0,15,5,+10,,,5 - 2,vs,,5 - 0,vs,,5 - 3,vs
,,#9,,FI,Finland,0.7928,"2,948,981",,,1,2,9,11,-2,,,2 - 5,vs,,2 - 5,vs,,5 - 1,vs
,,#10,,KZ,Kazakhstan,0.7825,"2,936,759",,,3,0,15,4,+11,,,5 - 3,vs,,5 - 1,vs,,5 - 0,vs
,,#11,,TW,Taiwan,0.7821,"3,030,967",,,3,0,15,2,+13,,,5 - 1,vs,,5 - 0,vs,,5 - 1,vs
,,#12,,TH,Thailand,0.7791,"2,908,860",,,0,3,4,15,-11,,,1 - 5,vs,,0 - 5,vs,,3 - 5,vs
,,#13,,AT,Austria,0.7781,"2,877,928",,,1,2,8,13,-5,,,5 - 3,vs,,0 - 5,vs,,3 - 5,vs
,,#14,,TR,Türkiye,0.7759,"3,046,420",,,3,0,15,3,+12,,,5 - 1,vs,,5 - 1,vs,,5 - 1,vs
,,#15,,FR,France,0.7742,"3,000,742",,,2,1,12,7,+5,,,5 - 0,vs,,5 - 2,vs,,2 - 5,vs
,,#16,,AR,Argentina,0.7627,"2,781,217",,,2,1,11,11,0,,,5 - 2,vs,,5 - 4,vs,,1 - 5,vs
,,#17,,ES,Spain,0.7626,"2,777,950",,,2,1,12,9,+3,,,5 - 0,vs,,5 - 4,vs,,2 - 5,vs
,,#18,,JP,Japan,0.7565,"2,891,034",,,3,0,15,6,+9,,,5 - 1,vs,,5 - 2,vs,,5 - 3,vs
,,#19,,NL,Netherlands,0.7531,"2,925,709",,,1,2,8,13,-5,,,1 - 5,vs,,2 - 5,vs,,5 - 3,vs
,,#20,,HK,Hong Kong,0.7520,"2,778,180",,,1,2,11,14,-3,,,4 - 5,vs,,2 - 5,vs,,5 - 4,vs
,,#21,,IT,Italy,0.7413,"2,797,992",,,0,3,0,15,-15,,,0 - 5,vs,,0 - 5,vs,,0 - 5,vs
,,#22,,ID,Indonesia,0.7409,"2,723,442",,,1,2,6,12,-6,,,5 - 2,vs,,0 - 5,vs,,1 - 5,vs
,,#23,,UY,Uruguay,0.7379,"2,769,113",,,0,3,9,15,-6,,,4 - 5,vs,,1 - 5,vs,,4 - 5,vs
,,#24,,SG,Singapore,0.7338,"2,806,803",,,2,1,13,11,+2,,,5 - 4,vs,,5 - 2,vs,,3 - 5,vs
,,#25,,MY,Malaysia,0.7199,"2,853,258",,,2,1,11,9,+2,,,5 - 1,vs,,5 - 3,vs,,1 - 5,vs
,,#26,,PT,Portugal,0.6944,"2,698,711",,,1,2,11,13,-2,,,3 - 5,vs,,5 - 3,vs,,3 - 5,vs
,,#27,,PE,Peru,0.6890,"2,631,067",,,2,1,11,10,+1,,,5 - 3,vs,,1 - 5,vs,,5 - 2,vs
,,#28,,BE,Belgium,0.6748,"2,503,199",,,1,2,8,14,-6,,,2 - 5,vs,,1 - 5,vs,,5 - 4,vs
,,#29,,VN,Vietnam,0.6698,"2,510,638",,,1,2,9,13,-4,,,3 - 5,vs,,5 - 3,vs,,1 - 5,vs
,,#30,,GR,Greece,0.6690,"2,475,684",,,0,3,7,15,-8,,,4 - 5,vs,,1 - 5,vs,,2 - 5,vs
,,#31,,UA,Ukraine,0.6493,"2,479,361",,,0,3,5,15,-10,,,3 - 5,vs,,2 - 5,vs,,0 - 5,vs
,,#32,,DK,Denmark,0.6289,"2,436,305",,,0,3,4,15,-11,,,0 - 5,vs,,1 - 5,vs,,3 - 5,vs
