,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Grand Finals ⬥ Player Leaderboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NM1,Falcom Sound Team jdk - Azure Destiny,,,,,,,,,,NM2,STARKILL - Be Dead or Die,,,,,,,,,,NM3,Cansol - Out of Place,,,,,,,,,,NM4,Billain - Afterburner (Cut Ver.),,,,,,,,,,NM5,Kikuo - Mono wo Parapara Kowasu,,,,,,,,,,HD1,youman - R.I.P.,,,,,,,,,,HD2,Kenshi Yonezu - Shitodo Seiten Daimeiwaku,,,,,,,,,,HD3,BlackY - PANAGIA,,,,,,,,,,HR1,Ave Mujica - DIVINE,,,,,,,,,,HR2,METAROOM - EMBRYOGLYPH,,,,,,,,,,HR3,tuki. - Guilty,,,,,,,,,,DT1,fhana - Wonder Stella,,,,,,,,,,DT2,airportexpress feat.Itsuneko - BIRTH,,,,,,,,,,DT3,DJ SHARPNEL - Pacific girls,,,,,,,,,,DT4,Aiobahn - resonance feat. KOCHO (KARUT Remix),,,,,,,,,,FM1,DJ SHARPNEL - Mmmmmmm,,,,,,,,,,FM2,beatMARIO - Night of Knights,,,,,,,,,,FM3,Inferi - The Abhorrent Art,,,,,,,,,,FM4,Kobaryo - Kick To The Sky,,,,,,,,,,TB,Imperial Circus Dead Decadence - Yuuaku no Inori - Anima immortalis est. -,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#1,PL:,,MALISZEWSKI,,A,"651,617",99.41%,US,,,#1,AU:,,mrekk,,S,"979,393",99.39%,US,,,#1,PL:,,MALISZEWSKI,,A,"484,703",97.65%,US,,,,,,,,,,,,,,#1,PL:,,MALISZEWSKI,,A,"505,903",96.53%,US,,,#1,PL:,,MALISZEWSKI,, S ,"1,026,831",99.13%,US,,,,,,,,,,,,,,#1,AU:,,mrekk,,A,"763,565",96.63%,US,,,,,,,,,,,,,,#1,US:,,decaten,,A,"596,567",97.57%,PL,,,#1,PL:,,MALISZEWSKI,,A,"915,488",98.43%,US,,,#1,PL:,,milosz,,A,"827,613",98.99%,US,,,#1,US:,,rektygon,,A,"810,646",95.16%,PL,,,#1,US:,,WindowLife,,A,"900,174",97.30%,PL,,,#1,AU:,,mrekk,,S,"759,825",98.20%,US,,,#1,PL:,,MALISZEWSKI,NM,A,"566,756",99.35%,US,,,#1,PL:,,Kosiarek,NM,A,"787,951",98.91%,US,,,,,,,,,,,,,,,,,,,,,,,,,#1,US:,,WindowLife,NM,A,"299,243",96.92%,AU
,,#2,US:,,Pezz,,A,"651,259",99.07%,PL,,,#2,AU:,,ASecretBox,,A,"523,152",99.22%,US,,,#2,US:,,Pezz,,A,"461,115",96.46%,PL,,,,,,,,,,,,,,#2,PL:,,milosz,,A,"446,834",96.59%,US,,,#2,PL:,,milosz,, S ,"1,013,152",98.82%,US,,,,,,,,,,,,,,#2,US:,,tekkito,,A,"524,114",98.32%,AU,,,,,,,,,,,,,,#2,PL:,,MALISZEWSKI,,A,"511,684",95.12%,US,,,#2,US:,,WindowLife,,A,"559,183",98.20%,PL,,,#2,AU:,,mrekk,,A,"676,634",98.97%,US,,,#2,US:,,WindowLife,,A,"612,662",97.70%,PL,,,#2,PL:,,milosz,,A,"526,871",97.55%,US,,,#2,US:,,rektygon,,A,"586,554",97.07%,PL,,,#2,PL:,,MALISZEWSKI,NM,A,"556,378",99.43%,US,,,#2,US:,,BoshyMan741,NM,A,"604,350",99.14%,AU,,,,,,,,,,,,,,,,,,,,,,,,,#2,AU:,,aknzx,NM,A,"288,101",95.68%,US
,,#3,PL:,,milosz,,A,"580,850",99.17%,US,,,#3,US:,,rektygon,,A,"466,489",96.60%,AU,,,#3,US:,,rektygon,,A,"390,460",95.97%,PL,,,,,,,,,,,,,,#3,US:,,BoshyMan741,,A,"384,712",95.02%,PL,,,#3,AU:,,mrekk,,A,"719,589",99.27%,US,,,,,,,,,,,,,,#3,US:,,tekkito,,A,"470,645",98.16%,PL,,,,,,,,,,,,,,#3,AU:,,mrekk,,A,"485,416",97.62%,US,,,#3,AU:,,mrekk,,A,"518,086",97.81%,US,,,#3,US:,,Pezz,,A,"671,414",97.87%,PL,,,#3,US:,,WindowLife,,A,"578,134",95.49%,AU,,,#3,PL:,,Rafis,,A,"404,670",95.26%,US,,,#3,US:,,rektygon,,A,"508,715",97.45%,AU,,,#3,US:,,BoshyMan741,NM,A,"501,606",98.79%,PL,,,#3,PL:,,MALISZEWSKI,NM,A,"583,039",98.23%,US,,,,,,,,,,,,,,,,,,,,,,,,,#3,AU:,,cloppit,NM,A,"272,599",96.05%,US
,,#4,AU:,,mrekk,,A,"522,839",98.84%,US,,,#4,US:,,WindowLife,,A,"459,333",95.05%,AU,,,#4,US:,,decaten,,A,"388,146",95.88%,AU,,,,,,,,,,,,,,#4,PL:,,hav,,A,"381,048",95.10%,US,,,#4,PL:,,gnahus,,A,"595,828",98.41%,US,,,,,,,,,,,,,,#4,US:,,decaten,,A,"424,400",96.17%,AU,,,,,,,,,,,,,,#4,US:,,rektygon,,A,"457,271",96.33%,AU,,,#4,US:,,rektygon,,A,"514,589",98.43%,PL,,,#4,AU:,,aknzx,,A,"586,229",94.89%,US,,,#4,PL:,,milosz,,A,"538,073",97.02%,US,,,#4,US:,,rektygon,,B,"341,544",92.36%,PL,,,#4,US:,,WindowLife,,A,"507,288",97.18%,PL,,,#4,AU:,,mrekk,NM,A,"453,686",98.79%,US,,,#4,US:,,rektygon,HR,A,"548,089",98.82%,AU,,,,,,,,,,,,,,,,,,,,,,,,,#4,US:,,rektygon,NM,A,"264,306",95.27%,AU
