#REF!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Qualifiers ⬥ Performance Scores,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,#,,,player,pscore ▼,played,counted,avg. score*,avg. acc,highest score*,,,,,,notes,,,
,,,,,,,,,,,,,,,,,,,,,
,,★,#1,PL:,,MALISZEWSKI,2.591,20 / 22,10 / 11,"828,723",99.18%,,NM1,S,"1,015,930",0.91,,"• *all scores are normalized
     (mod multipliers removed)

• performance score takes into account relative
  scores and the amount of maps played
     (essentially 'match costs' for the entire round)

• star (★) = at least 70% participation",,,
,,★,#2,AU:,,mrekk,2.438,22 / 22,11 / 11,"817,792",99.01%,,NM1,S,"1,015,568",1.00,,,,,
,,★,#3,CA:,,xootynator,2.239,17 / 22,8 / 11,"749,429",97.94%,,HR2,S,"996,328",0.77,,,,,
,,★,#4,PL:,,milosz,2.143,22 / 22,11 / 11,"692,513",99.00%,,NM2,S,"995,121",1.00,,,,,
,,★,#5,KR:,,LATAJACYTUNCZYK,2.115,19 / 22,10 / 11,"689,917",98.05%,,HD1, S ,"971,492",0.86,,,,,
,,★,#6,KR:,,Amamya Kokoro,2.108,21 / 22,11 / 11,"667,672",97.91%,,HD2, S ,"950,994",0.95,,,,,
,,★,#7,DE:,,criller,2.102,19 / 22,9 / 11,"706,345",98.59%,,HD1, S ,"980,964",0.86,,,,,
,,★,#8,TR:,,Raikouhou,2.097,20 / 22,10 / 11,"724,896",98.69%,,DT1,S,"972,418",0.91,, MORE STATISTICS,,,
,,★,#9,US:,,rektygon,2.087,15 / 21,8 / 11,"777,289",99.07%,,NM1,SS,"1,017,600",0.71,,,,,
,,★,#10,AU:,,ASecretBox,2.063,22 / 22,11 / 11,"706,891",98.63%,,DT1,S,"992,720",1.00,,,,,▶  qualifiers
,,★,#11,CL:,,Intercambing,2.062,22 / 22,11 / 11,"665,936",98.46%,,NM2,S,"994,973",1.00,,,,,▶  group stage
,,★,#12,US:,,decaten,2.014,15 / 21,8 / 11,"749,692",98.88%,,NM2,S,"989,928",0.71,,,,,▶  round of 16
