,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Qualifiers ⬥ Player Leaderboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NM1,KISIDA KYODAN & THE AKEBOSI ROCKETS - Stray,,,,,,,,,,NM2,sokoninaru - METALIN,,,,,,,,,,NM3,Chaos City Niigata - Ebicha no Shashinki,,,,,,,,,,NM4,femtanyl - ACT RIGHT,,,,,,,,,,HD1,NILFRUITS x Iyowa - Firefly,,,,,,,,,,HD2,FLAVOR FOLEY - WEIWARD ROMANCE,,,,,,,,,,HR1,roer & Abstract 64 - Linear Feedback,,,,,,,,,,HR2,Aethoro - Deertracks,,,,,,,,,,DT1,ShinRa-Bansho - Noumiso Rigid Girl,,,,,,,,,,DT2,SHIKI - Jade Star,,,,,,,,,,DT3,Susumu Hirasawa - Niwashi King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#,,,player,mods,,score ▼,acc,run,,,#,,,player,mods,,score ▼,acc,run,,,#,,,player,mods,,score ▼,acc,run,,,#,,,player,mods,,score ▼,acc,run,,,#,,,player,mods,,score ▼,acc,run,,,#,,,player,mods,,score ▼,acc,run,,,#,,,player,mods,,score ▼,acc,run,,,#,,,player,mods,,score ▼,acc,run,,,#,,,player,mods,,score ▼,acc,run,,,#,,,player,mods,,score ▼,acc,run,,,#,,,player,mods,,score ▼,acc,run,,,#,,,player,mods,,score ▼,acc,,,#,,,player,mods,,score ▼,acc,,,#,,,player,mods,,score ▼,acc,,,#,,,player,mods,,score ▼,acc,,,#,,,player,mods,,score ▼,acc,,,#,,,player,mods,,score ▼,acc,,,#,,,player,mods,,score ▼,acc,,,#,,,player,mods,,score ▼,acc,,,#,,,player,mods,,score ▼,acc
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#1,NO:,,papercandle,,S,"1,017,707",99.93%,1,,,#1,RU:,,Welter,,S,"998,294",99.95%,2,,,#1,PL:,,milosz,,S,"977,238",99.33%,2,,,#1,PL:,,MALISZEWSKI,,S,"958,723",98.96%,2,,,#1,AU:,,mrekk,, S ,"1,050,106",99.62%,1,,,#1,CL:,,NO37,, S ,"1,038,718",99.43%,1,,,#1,AU:,,ASecretBox,,S,"1,069,728",99.32%,2,,,#1,CA:,,xootynator,,S,"1,095,961",99.81%,2,,,#1,US:,,WindowLife,,S,"1,192,992",99.86%,1,,,#1,US:,,WindowLife,,S,"1,185,571",99.69%,2,,,#1,US:,,rektygon,,S,"1,181,145",99.53%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#2,US:,,rektygon,,SS,"1,017,600",100.00%,1,,,#2,VN:,,def,,S,"995,163",99.86%,2,,,#2,US:,,decaten,,S,"976,086",99.25%,2,,,#2,PL:,,MALISZEWSKI,,S,"954,920",98.85%,1,,,#2,AU:,,mrekk,, S ,"1,047,941",99.56%,2,,,#2,PL:,,MALISZEWSKI,, S ,"1,038,276",99.43%,2,,,#2,DE:,,Tim Kackner,,S,"1,044,832",98.65%,2,,,#2,AU:,,aknzx,,S,"1,095,661",99.68%,2,,,#2,AU:,,ASecretBox,,S,"1,191,264",99.79%,2,,,#2,US:,,tekkito,,S,"1,185,005",99.64%,1,,,#2,US:,,Pezz,,S,"1,165,311",99.16%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#3,PL:,,MALISZEWSKI,,S,"1,015,930",99.93%,2,,,#3,PL:,,milosz,,S,"995,121",99.86%,2,,,#3,GB:,,fudge,,S,"973,888",99.25%,2,,,#3,PL:,,milosz,,S,"938,402",98.44%,2,,,#3,CL:,,alfiu,, S ,"1,043,619",99.50%,1,,,#3,GB:,,Plasma,, S ,"1,034,540",99.24%,1,,,#3,NZ:,,Saiyku,,S,"1,042,622",98.63%,1,,,#3,PL:,,MALISZEWSKI,,S,"1,088,089",99.55%,2,,,#3,NO:,,NINERIK,,S,"1,191,048",99.79%,1,,,#3,US:,,rektygon,,S,"1,173,316",99.40%,2,,,#3,PL:,,Kosiarek,,S,"1,162,171",99.12%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#4,AU:,,mrekk,,S,"1,015,568",99.86%,2,,,#4,CL:,,Intercambing,,S,"994,973",99.85%,2,,,#4,CN:,,lolol235,,S,"972,040",99.25%,2,,,#4,KR:,,LATAJACYTUNCZYK,,S,"934,274",98.33%,1,,,#4,PL:,,MALISZEWSKI,, S ,"1,042,918",99.44%,2,,,#4,GB:,,Plasma,, S ,"1,030,133",99.08%,2,,,#4,PL:,,MALISZEWSKI,,A,"1,020,953",99.23%,1,,,#4,NZ:,,Saiyku,,A,"1,001,544",99.26%,2,,,#4,RU:,,Welter,,S,"1,187,379",99.72%,2,,,#4,PL:,,MALISZEWSKI,,S,"1,172,481",99.42%,2,,,#4,TR:,,Raikouhou,,A,"1,159,286",99.51%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
