,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Qualifiers ⬥ Team Hiscores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NM1,KISIDA KYODAN & THE AKEBOSI ROCKETS - Stray,,,,,,,,,,,NM2,sokoninaru - METALIN,,,,,,,,,,,NM3,Chaos City Niigata - Ebicha no Shashinki,,,,,,,,,,,NM4,femtanyl - ACT RIGHT,,,,,,,,,,,HD1,NILFRUITS x Iyowa - Firefly,,,,,,,,,,,HD2,FLAVOR FOLEY - WEIWARD ROMANCE,,,,,,,,,,,HR1,roer & Abstract 64 - Linear Feedback,,,,,,,,,,,HR2,Aethoro - Deertracks,,,,,,,,,,,DT1,ShinRa-Bansho - Noumiso Rigid Girl,,,,,,,,,,,DT2,SHIKI - Jade Star,,,,,,,,,,,DT3,Susumu Hirasawa - Niwashi King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#,,team,player,mods,,score,acc,team score ▼,run,,,#,,team,player,mods,,score,acc,team score ▼,run,,,#,,team,player,mods,,score,acc,team score ▼,run,,,#,,team,player,mods,,score,acc,team score ▼,run,,,#,,team,player,mods,,score,acc,team score ▼,run,,,#,,team,player,mods,,score,acc,team score ▼,run,,,#,,team,player,mods,,score,acc,team score ▼,run,,,#,,team,player,mods,,score,acc,team score ▼,run,,,#,,team,player,mods,,score,acc,team score ▼,run,,,#,,team,player,mods,,score,acc,team score ▼,run,,,#,,team,player,mods,,score,acc,team score ▼,run,,,#,,team,player,mods,,score,acc,team score ▼,,,#,,team,player,mods,,score,acc,team score ▼,,,#,,team,player,mods,,score,acc,team score ▼,,,#,,team,player,mods,,score,acc,team score ▼,,,#,,team,player,mods,,score,acc,team score ▼,,,#,,team,player,mods,,score,acc,team score ▼,,,#,,team,player,mods,,score,acc,team score ▼,,,#,,team,player,mods,,score,acc,team score ▼,,,#,,team,player,mods,,score,acc,team score ▼
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#1,,United Kingdom,Plasma,,S,"1,008,065",99.72%,"3,803,832",2,,,#1,,Germany,Denzel Curry,,S,"993,823",99.82%,"3,811,909",2,,,#1,,South Korea,Allegrissimo,,S,"962,544",98.92%,"3,478,455",2,,,#1,,Canada,nujabes,,S,"891,351",97.08%,"3,221,886",2,,,#1,,Australia,mrekk,, S ,"1,047,941",99.56%,"3,458,175",2,,,#1,,United Kingdom,Plasma,, S ,"1,034,540",99.24%,"2,842,056",1,,,#1,,Poland,MALISZEWSKI,,A,"1,020,953",99.23%,"3,297,620",1,,,#1,,Poland,MALISZEWSKI,,S,"1,088,089",99.55%,"3,494,220",2,,,#1,,United States,WindowLife,,S,"1,192,992",99.86%,"4,688,099",1,,,#1,,United States,WindowLife,,S,"1,185,571",99.69%,"4,450,091",2,,,#1,,United States,Pezz,,S,"1,165,311",99.16%,"3,228,824",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bubbleman,,S,"993,541",99.45%,,,,,,,,Tim Kackner,,S,"978,074",99.40%,,,,,,,,Nopekjk,,S,"961,256",98.83%,,,,,,,,Wanderio,,S,"881,890",96.88%,,,,,,,,ASecretBox,, S ,"1,021,343",98.84%,,,,,,,,Bubbleman,,A,"615,241",98.08%,,,,,,,,milosz,,A,"877,560",97.86%,,,,,,,,milosz,,A,"986,036",99.84%,,,,,,,,tekkito,,S,"1,171,450",99.31%,,,,,,,,rektygon,,S,"1,173,316",99.40%,,,,,,,,decaten,,A,"749,640",99.64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,fudge,,A,"977,143",99.76%,,,,,,,,Fleh,,S,"977,591",99.36%,,,,,,,,LATAJACYTUNCZYK,,A,"909,357",98.34%,,,,,,,,xootynator,,S,"835,475",95.42%,,,,,,,,aknzx,,A,"737,366",99.09%,,,,,,,,lystia,,A,"614,334",97.61%,,,,,,,,szedis,,A,"779,762",97.88%,,,,,,,,Kosiarek,,A,"772,683",99.71%,,,,,,,,rektygon,,A,"1,165,012",99.28%,,,,,,,,Pezz,,S,"1,118,993",98.21%,,,,,,,,tekkito,,A,"674,809",99.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Accolibed,,A,"825,083",99.47%,,,,,,,,criller,,A,"862,421",98.42%,,,,,,,,Amamya Kokoro,,A,"645,298",98.77%,,,,,,,,yip,,S,"613,170",98.59%,,,,,,,,palr,, S ,"651,525",98.55%,,,,,,,,skia1,,A,"577,941",97.02%,,,,,,,,Kosiarek,,A,"619,345",97.14%,,,,,,,,szedis,,A,"647,412",99.27%,,,,,,,,Pezz,,S,"1,158,645",99.03%,,,,,,,,tekkito,,A,"972,211",96.28%,,,,,,,,rektygon,,A,"639,064",99.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
