#REF!,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Quarterfinals ⬥ Performance Scores,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,#,,,player,pscore ▼,played,counted,avg. score*,avg. acc,highest score*,,,,,notes,,,
,,,,,,,,,,,,,,,,,,,,
,,★,#1,AU:,,mrekk,1.913,8 / 8,8 / 11,"894,676",99.01%,,FM1,S,"993,089",,"• *all scores are normalized
     (mod multipliers removed)

• performance score takes into account relative
  scores and the amount of maps played
     (essentially 'match costs' for the entire round)

• star (★) = at least 70% participation",,,
,,★,#2,TR:,,Raikouhou,1.889,7 / 8,7 / 11,"775,431",98.19%,,NM4,S,"957,154",,,,,
,,★,#3,PL:,,MALISZEWSKI,1.879,7 / 7,7 / 11,"757,652",98.60%,,HR3,S,"931,259",,,,,
,,★,#4,PL:,,milosz,1.808,7 / 7,7 / 11,"754,886",98.83%,,FM4,S,"985,227",,,,,
,,★,#5,AU:,,ASecretBox,1.790,8 / 8,8 / 11,"821,964",99.03%,,FM1, S ,"989,787",,,,,
,,,#6,US:,,rektygon,1.723,4 / 6,4 / 11,"760,925",97.79%,,FM2,S,"928,526",,,,,
,,★,#7,DE:,,criller,1.716,7 / 9,7 / 11,"768,219",99.11%,,HD1, S ,"988,658",,,,,
,,★,#8,NO:,,NINERIK,1.681,17 / 17,13 / 11,"690,576",98.75%,,DT3,S,"990,394",, MORE STATISTICS,,,
,,★,#9,CN:,,Crystal,1.640,5 / 7,5 / 11,"758,928",97.45%,,FM4,S,"964,995",,,,,
,,★,#10,KR:,,[Karcher],1.610,8 / 8,8 / 11,"719,408",98.12%,,NM2,S,"899,406",,,,,▶  qualifiers
,,★,#11,CA:,,xootynator,1.561,7 / 9,7 / 11,"679,088",98.10%,,DT1,S,"948,503",,,,,▶  group stage
,,★,#12,RO:,,origin_,1.543,11 / 11,11 / 11,"617,855",97.56%,,HR3,S,"900,362",,,,,▶  round of 16
,,★,#13,NZ:,,ozbert,1.511,16 / 16,10 / 11,"631,063",96.85%,,HD3, S ,"905,157",,,,,▶  quarterfinals
,,★,#14,KR:,,LATAJACYTUNCZYK,1.489,8 / 8,8 / 11,"668,350",97.82%,,HD3, S ,"954,302",,,,,▶  semifinals
,,,#15,CA:,,nujabes,1.483,6 / 9,6 / 11,"729,665",97.94%,,FM4,S,"956,215",,,,,▶  finals
,,★,#16,CL:,,alfiu,1.482,13 / 15,8 / 11,"656,265",97.78%,,HD3, S ,"950,681",,,,,▶  grand finals
,,★,#17,PH:,,NathanRam1918,1.467,14 / 16,9 / 11,"653,579",97.42%,,FM2,S,"960,208",,,,,▶  overall
,,★,#18,CN:,,lolol233,1.458,7 / 7,7 / 11,"603,759",97.58%,,HR3,S,"853,504",,,,,
,,★,#19,NZ:,,Kyujin,1.438,16 / 16,10 / 11,"605,359",97.69%,,FM1,S,"973,968",,,,,
,,,#20,PL:,,Kosiarek,1.430,2 / 7,2 / 11,"877,275",97.73%,,NM4,S,"933,140",, FULL FORMULA,,,
,,★,#21,NZ:,,Saiyku,1.429,14 / 16,9 / 11,"632,034",96.94%,,HR1,S,"959,147",,,,,
,,★,#22,RU:,,Welter,1.427,16 / 17,11 / 11,"616,844",98.16%,,NM2,S,"968,033",,,,,
,,,#23,PL:,,evil grape,1.397,3 / 7,3 / 11,"811,139",97.96%,,FM4,S,"956,832",,,,,
,,,#24,GB:,,Plasma,1.365,4 / 6,4 / 11,"617,317",98.73%,,FM2,A,"736,300",,,,,
,,★,#25,CL:,,Intercambing,1.353,12 / 15,7 / 11,"633,649",98.02%,,FM2,S,"847,928",,,,,
,,★,#26,TR:,,Shinkiro,1.345,6 / 8,6 / 11,"595,722",97.99%,,FM2,S,"950,737",,,,,
,,★,#27,CN:,,lolol235,1.319,7 / 7,7 / 11,"542,948",95.70%,,HR3,S,"834,352",,,,,
,,★,#28,NO:,,papercandle,1.313,13 / 17,10 / 11,"607,593",98.13%,,NM2,S,"967,537",,,,,
,,★,#29,CA:,,Wanderio,1.302,7 / 9,7 / 11,"595,186",97.64%,,FM2,A,"837,451",,,,,
,,★,#30,KR:,,Amamya Kokoro,1.299,6 / 8,6 / 11,"656,834",98.89%,,FM4,A,"730,843",,,,,
,,★,#31,AU:,,aknzx,1.296,7 / 8,7 / 11,"597,283",98.30%,,HD3, S ,"936,535",,view full-size image here,,,
,,★,#32,SE:,,scylla,1.284,7 / 7,7 / 11,"538,519",97.41%,,HD3,A,"779,811",,,,,
,,,#33,RU:,,gamer228666,1.280,11 / 17,7 / 11,"646,942",97.73%,,FM4,S,"924,120",,,,,
,,★,#34,ES:,,A L E P H,1.278,8 / 8,8 / 11,"553,023",98.10%,,HD1,A,"808,617",,,,,
,,,#35,US:,,Pezz,1.270,3 / 6,3 / 11,"669,859",97.83%,,DT4,A,"973,101",,,,,
,,,#36,CA:,,Zylice,1.269,6 / 9,6 / 11,"597,030",98.34%,,HD3,A,"914,197",,,,,
,,★,#37,ID:,,MineFrostID,1.267,5 / 7,5 / 11,"628,675",97.85%,,DT1,A,"784,584",,,,,
,,★,#38,GB:,,Bubbleman,1.267,5 / 6,5 / 11,"542,748",97.26%,,DT1,A,"802,313",,,,,
,,★,#39,RU:,,Lexu2S,1.265,12 / 17,10 / 11,"586,775",97.74%,,FM4, S ,"949,397",,,,,
,,,#40,RO:,,badeu,1.256,6 / 11,6 / 11,"583,600",95.45%,,HR3,S,"680,285",,,,,
