,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Quarterfinals ⬥ Player Leaderboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NM1,zebrahead - Falling Apart,,,,,,,,,,NM2,Into Infernus - Shimmy,,,,,,,,,,NM3,La Maquina de Hacer Pajaros - Hipercandombe,,,,,,,,,,NM4,MetaHumanBoi - ILLUSTRIOUS DRIFTERS,,,,,,,,,,NM5,LUZE - ULTRA RENDA 1,,,,,,,,,,HD1,Galactikraken - Jetpack Race,,,,,,,,,,HD2,69 de 74 - TransientTears,,,,,,,,,,HD3,NIWASHI - Heartstrings,,,,,,,,,,HR1,Mr. Asyu - Haunted Dance,,,,,,,,,,HR2,the GazettE - DEVOURING ONE ANOTHER,,,,,,,,,,HR3,Culprate & Dictate - Pencilina,,,,,,,,,,DT1,kradness&Reol - Remote Control,,,,,,,,,,DT2,A-One - Side by Side,,,,,,,,,,DT3,Demetori - Strawberry Crisis!!,,,,,,,,,,DT4,Nightcore - Ravers Fantasy,,,,,,,,,,FM1,Laser Imouto - Prismatix,,,,,,,,,,FM2,Isekaijoucho & KAF - Suminagashi,,,,,,,,,,FM3,RD-Sounds feat. Meramipop - On Seeking U,,,,,,,,,,FM4,takehirotei - Haiboku no Altra Vita,,,,,,,,,,TB,Helblinde - Nastrond,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#1,PH:,,LordGabriel,,A,"818,358",97.80%,ID,,,#1,NO:,,NINERIK,,S,"988,105",99.73%,BR,,,#1,TW:,,GAO HAO,,S,"955,189",98.59%,RO,,,#1,TR:,,Raikouhou,,S,"957,154",98.92%,NO,,,#1,TR:,,LyeRR,,A,"868,120",96.09%,NO,,,#1,DE:,,criller,, S ,"1,047,978",99.73%,CA,,,#1,RO:,,origin_,,A,"793,051",98.27%,TW,,,#1,KR:,,LATAJACYTUNCZYK,, S ,"1,011,560",98.83%,AU,,,#1,DE:,,criller,,S,"1,078,961",99.49%,CA,,,#1,NO:,,papercandle,,A,"608,506",98.04%,BR,,,#1,NO:,,antonyw,,S,"1,028,799",98.05%,BR,,,#1,AU:,,mrekk,,S,"1,180,157",99.03%,KR,,,#1,US:,,rektygon,,A,"1,013,796",96.40%,GB,,,#1,NO:,,NINERIK,,S,"1,188,473",99.73%,TR,,,#1,US:,,Pezz,,A,"1,167,721",99.43%,GB,,,#1,AU:,,ASecretBox,HD, S ,"1,049,174",99.72%,KR,,,#1,US:,,decaten,HR,S,"1,066,554",99.05%,GB,,,#1,PH:,,LordGabriel,NM,S,"994,903",99.65%,RU,,,#1,RU:,,Lexu2S,HD, S ,"1,006,361",98.48%,ES,,,#1,TW:,,GAO HAO,NM,A,"671,250",98.58%,RO
,,#2,PH:,,Icarussy,,S,"666,065",99.45%,ID,,,#2,RU:,,Welter,,S,"968,033",99.18%,PH,,,#2,BR:,,VitorSkull,,A,"801,091",98.30%,FI,,,#2,CA:,,xootynator,,S,"938,897",98.47%,DE,,,#2,CN:,,Crystal,,A,"770,195",96.75%,PL,,,#2,RU:,,Welter,,A,"1,015,189",99.10%,ES,,,#2,GB:,,Plasma,,A,"601,458",98.47%,US,,,#2,CL:,,alfiu,, S ,"1,007,722",98.68%,TW,,,#2,NZ:,,Saiyku,,S,"1,055,062",98.89%,FR,,,#2,NO:,,NINERIK,,A,"595,887",99.14%,BR,,,#2,PL:,,MALISZEWSKI,,S,"1,024,385",97.92%,CN,,,#2,PL:,,milosz,,S,"1,168,081",98.86%,CN,,,#2,PL:,,MALISZEWSKI,,A,"965,152",98.24%,CN,,,#2,CA:,,PinkEyeFan2013,,S,"1,135,489",98.54%,DE,,,#2,RU:,,Welter,,A,"921,309",98.18%,ES,,,#2,AU:,,mrekk,NM,S,"993,089",99.79%,KR,,,#2,AU:,,ASecretBox,HR,S,"1,036,863",98.20%,KR,,,#2,TR:,,Raikouhou,HR,A,"894,893",98.24%,NO,,,#2,AU:,,mrekk,NM,S,"990,198",99.66%,KR,,,#2,RO:,,etn,NM,A,"639,237",98.14%,TW
,,#3,PH:,,NathanRam1918,,A,"633,487",99.44%,ID,,,#3,NO:,,papercandle,,S,"967,537",99.18%,BR,,,#3,NZ:,,Kyujin,,A,"662,754",98.90%,SE,,,#3,PL:,,Kosiarek,,S,"933,140",98.31%,CN,,,#3,PL:,,milosz,,A,"689,859",99.06%,CN,,,#3,FI:,,AllyrD,,A,"927,600",99.69%,BR,,,#3,US:,,BoshyMan741,, S ,"585,277",98.97%,GB,,,#3,AU:,,aknzx,, S ,"992,727",99.36%,KR,,,#3,AU:,,ASecretBox,,S,"1,030,021",98.25%,KR,,,#3,NO:,,YokesPai,,A,"493,622",97.41%,BR,,,#3,RO:,,origin_,,S,"990,398",96.89%,TW,,,#3,CL:,,alfiu,,S,"1,139,678",98.12%,AT,,,#3,TR:,,Raikouhou,,A,"806,993",99.03%,NO,,,#3,SE:,,trumpatino69,,S,"1,127,054",98.28%,NZ,,,#3,TW:,,Flyer,,A,"858,816",97.33%,CL,,,#3,FR:,,Hifkil,NM,S,"991,116",99.76%,JP,,,#3,US:,,rektygon,HR,S,"1,021,379",97.77%,GB,,,#3,PH:,,NathanRam1918,NM,A,"757,397",99.62%,ID,,,#3,PL:,,milosz,NM,S,"985,227",99.53%,CN,,,#3,TW:,,willy0214,NM,A,"508,458",97.82%,RO
,,#4,ID:,,MineFrostID,,S,"581,780",98.93%,PH,,,#4,AU:,,cloppit,,S,"955,868",98.84%,KR,,,#4,CL:,,Intercambing,,A,"622,742",98.54%,AT,,,#4,DE:,,criller,,A,"906,743",98.74%,CA,,,#4,PL:,,MALISZEWSKI,,A,"682,463",98.64%,CN,,,#4,ES:,,A L E P H,,A,"857,134",99.28%,RU,,,#4,GB:,,Bubbleman,,A,"526,225",98.73%,US,,,#4,AU:,,mrekk,, S ,"989,444",98.14%,KR,,,#4,NO:,,NINERIK,,A,"996,458",98.52%,TR,,,#4,BR:,,Nyash,,A,"480,779",98.19%,NO,,,#4,NO:,,NINERIK,,S,"980,125",96.63%,TR,,,#4,CA:,,xootynator,,S,"1,138,204",98.15%,DE,,,#4,PL:,,milosz,,A,"800,665",98.78%,CN,,,#4,NZ:,,Kyujin,,S,"1,118,768",98.15%,FR,,,#4,CL:,,alfiu,,A,"823,760",97.78%,TW,,,#4,FR:,,Hifkil,NM,S,"983,769",99.55%,NZ,,,#4,NZ:,,Saiyku,HR,S,"1,021,368",97.77%,FR,,,#4,RU:,,desuqe,NM,A,"757,138",99.03%,ES,,,#4,NO:,,papercandle,NM,S,"966,751",99.05%,BR,,,#4,TW:,,Ruyaya,NM,A,"475,061",97.47%,RO
,,#5,ID:,,Hakui Koyori,,A,"545,064",98.71%,PH,,,#5,KR:,,Chipori,,S,"955,472",98.78%,AU,,,#5,BR:,,Kurumiw,,A,"603,287",96.86%,FI,,,#5,PL:,,MALISZEWSKI,,S,"828,069",99.38%,CN,,,#5,PL:,,evil grape,,A,"612,979",97.41%,CN,,,#5,CA:,,nujabes,,A,"823,901",98.37%,DE,,,#5,US:,,EthantrixV3,,A,"513,803",97.84%,GB,,,#5,CA:,,Zylice,,A,"969,049",98.27%,DE,,,#5,KR:,,[Karcher],,A,"984,004",98.06%,AU,,,#5,NO:,,antonyw,,A,"470,040",97.49%,BR,,,#5,TR:,,Raikouhou,,S,"975,296",96.37%,NO,,,#5,NZ:,,Saiyku,,S,"1,126,644",97.61%,SE,,,#5,NO:,,NINERIK,,A,"712,730",99.17%,TR,,,#5,NO:,,NINERIK,,S,"1,021,112",99.72%,BR,,,#5,US:,,[C],,A,"795,351",98.52%,GB,,,#5,NZ:,,Kyujin,NM,S,"973,968",99.24%,FR,,,#5,GB:,,Accolibed,HR,S,"1,017,674",97.68%,US,,,#5,BR:,,-izzy,NM,A,"676,427",97.96%,FI,,,#5,CN:,,Crystal,NM,S,"964,995",98.92%,PL,,,#5,TW:,,Ethan2222,NM,A,"472,805",98.11%,RO
,,#6,ID:,,lifeline,,A,"506,496",99.06%,PH,,,#6,PL:,,milosz,,A,"918,997",99.18%,CN,,,#6,NZ:,,Kyujin,,A,"601,767",98.90%,FR,,,#6,KR:,,[Karcher],,A,"811,864",98.73%,AU,,,#6,RO:,,etn,,A,"602,631",96.79%,TW,,,#6,CA:,,xootynator,,A,"748,825",99.52%,DE,,,#6,PH:,,NathanRam1918,,A,"511,044",98.85%,RU,,,#6,NZ:,,ozbert,, S ,"959,466",97.26%,FR,,,#6,AU:,,mrekk,,S,"930,062",98.58%,KR,,,#6,BR:,,shwq,,A,"452,489",97.68%,NO,,,#6,CN:,,Crystal,,S,"956,318",96.11%,PL,,,#6,AT:,,z9a,,S,"1,125,653",97.61%,CL,,,#6,US:,,tekkito,,A,"694,623",98.14%,GB,,,#6,NZ:,,Saiyku,,S,"1,002,885",94.57%,FR,,,#6,CL:,,Intercambing,,A,"788,762",99.43%,TW,,,#6,TW:,,willy0214,NM,A,"798,066",99.18%,RO,,,#6,TR:,,Raikouhou,HR,S,"1,015,218",97.59%,NO,,,#6,RO:,,badeu,NM,A,"672,432",97.62%,TW,,,#6,AU:,,ASecretBox,NM,S,"963,558",98.92%,KR,,,#6,RO:,,origin_,NM,A,"448,823",97.96%,TW
,,#7,PH:,,perhap,,A,"491,008",97.80%,ID,,,#7,AU:,,mrekk,,A,"908,027",99.13%,KR,,,#7,RO:,,badeu,,A,"601,541",95.73%,TW,,,#7,NO:,,NINERIK,,A,"771,364",98.97%,BR,,,#7,RO:,,origin_,,A,"595,219",97.34%,TW,,,#7,BR:,,-izzy,,A,"713,273",99.67%,NO,,,#7,US:,,rektygon,,A,"492,542",98.21%,GB,,,#7,KR:,,Allegrissimo,,A,"874,015",96.48%,AU,,,#7,CA:,,xootynator,,A,"767,732",98.92%,DE,,,#7,BR:,,-izzy,,A,"428,441",97.91%,NO,,,#7,FR:,,Musty,,S,"949,524",95.72%,JP,,,#7,NO:,,NINERIK,,A,"1,001,129",98.89%,BR,,,#7,NO:,,Pinguinzi,,A,"631,753",96.05%,TR,,,#7,NZ:,,ozbert,,S,"956,927",97.38%,FR,,,#7,CL:,,Intercambing,,A,"788,217",99.26%,AT,,,#7,NZ:,,Saiyku,HR,S,"793,849",98.17%,FR,,,#7,AU:,,palr,HD, S ,"1,010,971",98.60%,KR,,,#7,RU:,,gamer228666,NM,A,"659,416",99.09%,PH,,,#7,PL:,,evil grape,NM,S,"956,832",98.85%,CN,,,#7,RO:,,capybaras,NM,A,"375,347",97.42%,TW
,,#8,ID:,,GNX,,A,"386,827",97.98%,PH,,,#8,DE:,,Fleh,,S,"903,546",97.28%,CA,,,#8,NZ:,,ozbert,,A,"509,900",96.80%,FR,,,#8,KR:,,LATAJACYTUNCZYK,,S,"770,709",99.31%,AU,,,#8,FR:,,fiaee,,A,"567,502",99.00%,JP,,,#8,ES:,,BabyScylla,,A,"704,635",98.91%,RU,,,#8,PH:,,ZaNy_,,A,"492,469",97.62%,RU,,,#8,FR:,,fiaee,,A,"873,305",99.24%,NZ,,,#8,RU:,,Welter,,A,"759,810",98.67%,PH,,,#8,BR:,,tayko,,A,"397,619",96.29%,NO,,,#8,CN:,,lolol233,,S,"938,854",96.63%,PL,,,#8,US:,,rektygon,,A,"966,820",98.79%,GB,,,#8,PL:,,Rafis,,A,"601,703",97.99%,CN,,,#8,NO:,,Pinguinzi,,A,"945,722",95.50%,TR,,,#8,CL:,,alfiu,,A,"769,597",98.27%,AT,,,#8,PH:,,zonelouise,NM,A,"775,450",98.86%,RU,,,#8,KR:,,Allegrissimo,NM,S,"967,240",98.97%,AU,,,#8,FI:,,Mike Tyson,HR,A,"628,858",98.81%,BR,,,#8,CA:,,nujabes,NM,S,"956,215",98.78%,DE,,,#8,RO:,,AlexBelea,NM,A,"359,321",96.60%,TW
