,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Quarterfinals ⬥ Team Hiscores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NM1,zebrahead - Falling Apart,,,,,,,,,,,NM2,Into Infernus - Shimmy,,,,,,,,,,,NM3,La Maquina de Hacer Pajaros - Hipercandombe,,,,,,,,,,,NM4,MetaHumanBoi - ILLUSTRIOUS DRIFTERS,,,,,,,,,,,NM5,LUZE - ULTRA RENDA 1,,,,,,,,,,,HD1,Galactikraken - Jetpack Race,,,,,,,,,,,HD2,69 de 74 - TransientTears,,,,,,,,,,,HD3,NIWASHI - Heartstrings,,,,,,,,,,,HR1,Mr. Asyu - Haunted Dance,,,,,,,,,,,HR2,the GazettE - DEVOURING ONE ANOTHER,,,,,,,,,,,HR3,Culprate & Dictate - Pencilina,,,,,,,,,,,DT1,kradness&Reol - Remote Control,,,,,,,,,,,DT2,A-One - Side by Side,,,,,,,,,,,DT3,Demetori - Strawberry Crisis!!,,,,,,,,,,,DT4,Nightcore - Ravers Fantasy,,,,,,,,,,,FM1,Laser Imouto - Prismatix,,,,,,,,,,,FM2,Isekaijoucho & KAF - Suminagashi,,,,,,,,,,,FM3,RD-Sounds feat. Meramipop - On Seeking U,,,,,,,,,,,FM4,takehirotei - Haiboku no Altra Vita,,,,,,,,,,,TB,Helblinde - Nastrond,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#1,,Philippines,LordGabriel,,A,"818,358",97.80%,"2,608,918",ID,,,#1,,Australia,cloppit,,S,"955,868",98.84%,"3,272,761",KR,,,#1,,Taiwan,GAO HAO,,S,"955,189",98.59%,"2,265,297",RO,,,#1,,South Korea,[Karcher],,A,"811,864",98.73%,"2,907,024",AU,,,#1,,Poland,milosz,,A,"689,859",99.06%,"2,507,747",CN,,,#1,,Russian Federation,Welter,,A,"1,015,189",99.10%,"2,726,499",ES,,,#1,,United States,BoshyMan741,, S ,"585,277",98.97%,"2,046,498",GB,,,#1,,Australia,aknzx,, S ,"992,727",99.36%,"3,350,039",KR,,,#1,,Germany,criller,,S,"1,078,961",99.49%,"2,958,340",CA,,,#1,,Norway,papercandle,,A,"608,506",98.04%,"2,168,055",BR,,,#1,,China,Crystal,,S,"956,318",96.11%,"3,672,785",PL,,,#1,,Norway,NINERIK,,A,"1,001,129",98.89%,"3,326,896",BR,,,#1,,Poland,MALISZEWSKI,,A,"965,152",98.24%,"2,870,247",CN,,,#1,,New Zealand,Kyujin,,S,"1,118,768",98.15%,"3,772,318",FR,,,#1,,United States,Pezz,,A,"1,167,721",99.43%,"3,369,298",GB,,,#1,,New Zealand,Kyujin,NM,S,"973,968",99.24%,"3,236,694",FR,,,#1,,Australia,ASecretBox,HR,S,"1,036,863",98.20%,"3,666,274",KR,,,#1,,Philippines,LordGabriel,NM,S,"994,903",99.65%,"2,585,528",RU,,,#1,,Poland,milosz,NM,S,"985,227",99.53%,"3,108,196",CN,,,#1,,Taiwan,GAO HAO,NM,A,"671,250",98.58%,"2,127,574",RO
,,,,,Icarussy,,S,"666,065",99.45%,,,,,,,,mrekk,,A,"908,027",99.13%,,,,,,,,willy0214,,A,"504,051",98.30%,,,,,,,,LATAJACYTUNCZYK,,S,"770,709",99.31%,,,,,,,,MALISZEWSKI,,A,"682,463",98.64%,,,,,,,,BJIADOC,,A,"692,658",99.05%,,,,,,,,EthantrixV3,,A,"513,803",97.84%,,,,,,,,mrekk,, S ,"989,444",98.14%,,,,,,,,ZeitFrost,,A,"697,908",98.91%,,,,,,,,NINERIK,,A,"595,887",99.14%,,,,,,,,lolol233,,S,"938,854",96.63%,,,,,,,,papercandle,,A,"955,424",98.27%,,,,,,,,milosz,,A,"800,665",98.78%,,,,,,,,Saiyku,,S,"1,002,885",94.57%,,,,,,,,[C],,A,"795,351",98.52%,,,,,,,,Saiyku,HR,S,"793,849",98.17%,,,,,,,,palr,HD, S ,"1,010,971",98.60%,,,,,,,,NathanRam1918,NM,A,"585,650",99.60%,,,,,,,,evil grape,NM,S,"956,832",98.85%,,,,,,,,willy0214,NM,A,"508,458",97.82%,,
,,,,,NathanRam1918,,A,"633,487",99.44%,,,,,,,,ASecretBox,,A,"892,422",99.69%,,,,,,,,Ethan2222,,A,"405,119",97.17%,,,,,,,,Amamya Kokoro,,A,"697,775",99.54%,,,,,,,,evil grape,,A,"612,979",97.41%,,,,,,,,desuqe,,A,"524,182",99.03%,,,,,,,,rektygon,,A,"492,542",98.21%,,,,,,,,ASecretBox,,A,"807,238",98.68%,,,,,,,,Tim Kackner,,A,"661,564",98.31%,,,,,,,,YokesPai,,A,"493,622",97.41%,,,,,,,,lolol235,,S,"917,787",94.81%,,,,,,,,Melvr,,A,"884,136",97.78%,,,,,,,,Rafis,,A,"601,703",97.99%,,,,,,,,ozbert,,S,"956,927",97.38%,,,,,,,,EthantrixV3,,A,"720,387",97.81%,,,,,,,,she gon pay me,NM,A,"773,954",98.44%,,,,,,,,mrekk,NM,S,"965,006",98.97%,,,,,,,,ZaNy_,HD,A,"545,025",98.10%,,,,,,,,MALISZEWSKI,HR,A,"690,370",99.02%,,,,,,,,Ruyaya,NM,A,"475,061",97.47%,,
,,,,,perhap,,A,"491,008",97.80%,,,,,,,,aknzx,,A,"516,444",97.08%,,,,,,,,Spinesnight,,A,"400,938",96.39%,,,,,,,,Nopekjk,,A,"626,676",98.02%,,,,,,,,hav,,A,"522,446",97.96%,,,,,,,,Lexu2S,,A,"494,470",99.07%,,,,,,,,tekkito,,A,"454,876",98.21%,,,,,,,,palr,,A,"560,630",97.13%,,,,,,,,Denzel Curry,,A,"519,907",97.61%,,,,,,,,antonyw,,A,"470,040",97.49%,,,,,,,,lolol234,,A,"859,826",94.88%,,,,,,,,Pinguinzi,,A,"486,207",97.22%,,,,,,,,szedis,,A,"502,727",97.23%,,,,,,,,HaSappy,,A,"693,738",97.54%,,,,,,,,tekkito,,A,"685,839",98.75%,,,,,,,,ozbert,HD,A,"694,923",97.26%,,,,,,,,aknzx,HR,A,"653,434",97.47%,,,,,,,,Icarussy,HR,A,"459,950",96.60%,,,,,,,,gnahus,HD,A,"475,767",97.61%,,,,,,,,Ethan2222,NM,A,"472,805",98.11%,,
