#REF!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Quarterfinals ⬥ Team Statistics,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,#,,,team,avg. %max ▼,avg. score,,,w,l,pf,pa,pd,,,matches,,,,
,,,,,,,,,,,,,,,,,,,,,
,,#1,,PL,Poland,0.9572,"2,749,766",,,1,0,6,1,+5,,,6 - 1,vs,,,
,,#2,,AU,Australia,0.9517,"2,910,639",,,1,0,6,2,+4,,,6 - 2,vs,,,
,,#3,,US,United States,0.8934,"2,421,088",,,1,0,6,0,+6,,,6 - 0,vs,,,
,,#4,,KR,South Korea,0.8802,"2,681,169",,,0,1,2,6,-4,,,2 - 6,vs,,,
,,#5,,CA,Canada,0.8595,"2,565,989",,,1,0,6,3,+3,,,6 - 3,vs,,,
,,#6,,DE,Germany,0.8316,"2,469,517",,,0,1,3,6,-3,,,3 - 6,vs,,,
,,#7,,NO,Norway,0.8207,"2,350,481",,,2,0,12,5,+7,,,6 - 2,vs,,6 - 3,vs
,,#8,,CN,China,0.8016,"2,341,108",,,0,1,1,6,-5,,,1 - 6,vs,,,
,,#9,,NZ,New Zealand,0.7880,"2,288,088",,,2,0,12,4,+8,,,6 - 1,vs,,6 - 3,vs
,,#10,,RU,Russian Federation,0.7822,"2,262,230",,,2,0,12,5,+7,,,6 - 2,vs,,6 - 3,vs
,,#11,,PH,Philippines,0.7791,"2,265,321",,,1,1,9,7,+2,,,6 - 1,vs,,3 - 6,vs
,,#12,,RO,Romania,0.7638,"2,054,333",,,0,1,5,6,-1,,,5 - 6,vs,,,
,,#13,,TR,Türkiye,0.7474,"2,122,931",,,0,1,2,6,-4,,,2 - 6,vs,,,
,,#14,,CL,Chile,0.7431,"2,214,422",,,2,0,12,3,+9,,,6 - 1,vs,,6 - 2,vs
,,#15,,GB,United Kingdom,0.7361,"2,005,479",,,0,1,0,6,-6,,,0 - 6,vs,,,
,,#16,,FR,France,0.6945,"2,058,160",,,1,1,9,7,+2,,,6 - 1,vs,,3 - 6,vs
,,#17,,TW,Taiwan,0.6873,"1,923,886",,,1,1,8,11,-3,,,2 - 6,vs,,6 - 5,vs
,,#18,,BR,Brazil,0.6863,"1,945,447",,,1,1,9,10,-1,,,6 - 4,vs,,3 - 6,vs
,,#19,,AT,Austria,0.6779,"2,010,478",,,0,1,1,6,-5,,,1 - 6,vs,,,
,,#20,,ES,Spain,0.6539,"1,871,393",,,0,1,2,6,-4,,,2 - 6,vs,,,
,,#21,,ID,Indonesia,0.6435,"1,885,038",,,0,1,1,6,-5,,,1 - 6,vs,,,
,,#22,,SE,Sweden,0.6412,"1,860,867",,,0,1,1,6,-5,,,1 - 6,vs,,,
,,#23,,FI,Finland,0.6147,"1,769,365",,,0,1,4,6,-2,,,4 - 6,vs,,,
,,#24,,JP,Japan,0.5635,"1,692,024",,,0,1,1,6,-5,,,1 - 6,vs,,,
