,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Round of 16 ⬥ Player Leaderboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NM1,DIALOGUE+ - Daibouken o Yoroshiku,,,,,,,,,,NM2,Hideous Divinity - The Deaden Room,,,,,,,,,,NM3,Masayoshi Takanaka - Gascon Cocktail,,,,,,,,,,NM4,ABSOLUTE CASTAWAY - step by step,,,,,,,,,,NM5,gladde paling - vleermuis,,,,,,,,,,HD1,Nekrogoblikon - Dressed as Goblins,,,,,,,,,,HD2,Minami no Minami - KAFU-chan no Curry Udon Kyousoukyoku,,,,,,,,,,HR1,Sunny Day Service - Kokoro ni Kumo o Motsu Shonen,,,,,,,,,,HR2,Archspire - Involuntary Doppelganger,,,,,,,,,,DT1,KOTOKO - Oboetete Ii yo,,,,,,,,,,DT2,senya - Tokuiten no Kaibutsuteki Kanjou,,,,,,,,,,DT3,"Tyler, The Creator - Ring Ring Ring",,,,,,,,,,FM1,inabakumori - NON-USE,,,,,,,,,,FM2,Magdalena Bay - Image,,,,,,,,,,FM3,masarada - Liar Dancer,,,,,,,,,,TB,Yooh - Eternity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#1,SE:,,scylla,,S,"1,000,949",99.74%,MY,,,#1,AU:,,ASecretBox,,S,"1,010,303",99.82%,RO,,,#1,KR:,,Amamya Kokoro,,S,"960,964",98.55%,CL,,,#1,CN:,,lolol233,,S,"957,510",98.77%,RU,,,#1,KZ:,,Kamensh1k,,B,"752,015",92.90%,ID,,,#1,RU:,,Lexu2S,, S ,"962,993",97.44%,CN,,,#1,PL:,,MALISZEWSKI,, S ,"1,058,452",99.91%,PH,,,#1,US:,,WindowLife,,S,"1,054,872",98.85%,FR,,,#1,US:,,decaten,,S,"1,088,805",99.71%,FR,,,#1,FR:,,JapWhite,,SS,"1,205,280",100.00%,US,,,#1,NO:,,NINERIK,,S,"1,184,374",99.50%,CA,,,#1,PL:,,MALISZEWSKI,,S,"1,151,093",98.91%,PH,,,#1,ID:,,MineFrostID,HR,S,"1,042,630",98.56%,KZ,,,#1,GB:,,Plasma,HD, S ,"986,726",97.60%,NZ,,,#1,KR:,,Amamya Kokoro,HR,S,"1,053,420",98.87%,CL,,,#1,JP:,,Furamun,NM,A,"448,823",96.39%,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#2,PL:,,MALISZEWSKI,,S,"999,611",99.69%,PH,,,#2,PL:,,Rafis,,S,"993,208",99.47%,PH,,,#2,KR:,,LATAJACYTUNCZYK,,S,"931,782",97.65%,CL,,,#2,KR:,,LATAJACYTUNCZYK,,S,"938,167",98.13%,CL,,,#2,FR:,,calangi,,A,"725,246",91.00%,US,,,#2,CN:,,lolol235,,A,"930,691",97.62%,RU,,,#2,PL:,,hav,, S ,"1,055,661",99.83%,PH,,,#2,TW:,,willy0214,,S,"1,047,190",98.73%,NL,,,#2,JP:,,RafuNa,,S,"1,051,402",98.77%,TH,,,#2,RU:,,Welter,,S,"1,200,649",99.92%,CN,,,#2,RU:,,maxim,,S,"1,179,840",99.42%,CN,,,#2,RU:,,Welter,,S,"1,142,795",98.61%,CN,,,#2,AU:,,mrekk,NM,S,"983,086",99.60%,RO,,,#2,GB:,,Bubbleman,NM,S,"981,622",99.43%,NZ,,,#2,SE:,,scylla,HD, S ,"1,030,003",99.29%,MY,,,#2,TH:,,-Kedama,HD,A,"383,631",96.11%,JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#3,SG:,,Mekeyo,,S,"998,598",99.69%,AT,,,#3,PL:,,milosz,,S,"991,118",99.43%,PH,,,#3,TH:,,Arz3,,S,"908,297",96.84%,JP,,,#3,CL:,,alfiu,,S,"929,071",97.92%,KR,,,#3,NO:,,Melvr,,A,"724,388",93.30%,CA,,,#3,JP:,,Furamun,,A,"923,469",97.26%,TH,,,#3,US:,,EthantrixV3,, S ,"1,041,073",99.48%,FR,,,#3,US:,,rektygon,,A,"871,810",98.74%,FR,,,#3,US:,,rektygon,,A,"1,045,480",98.71%,FR,,,#3,PL:,,milosz,,S,"1,198,948",99.92%,PH,,,#3,DE:,,okinamo,,S,"1,175,613",99.31%,BR,,,#3,PL:,,milosz,,S,"1,130,325",98.31%,PH,,,#3,RO:,,badeu,NM,A,"911,628",97.67%,AU,,,#3,AU:,,mrekk,NM,S,"947,807",98.26%,RO,,,#3,AT:,,fedoragoose,HD, S ,"1,003,509",98.58%,SG,,,#3,JP:,,shouponpon,NM,A,"353,109",97.00%,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#4,PH:,,Icarussy,,S,"986,672",99.38%,PL,,,#4,FI:,,Amasetic,,S,"984,792",99.17%,PE,,,#4,CL:,,Intercambing,,S,"898,365",96.78%,KR,,,#4,FR:,,Musty,,S,"920,253",97.76%,US,,,#4,CA:,,xootynator,,A,"712,713",91.22%,NO,,,#4,CN:,,Ledeau_Fox,, S ,"850,625",93.60%,RU,,,#4,US:,,rektygon,, S ,"1,039,637",99.48%,FR,,,#4,KR:,,MYKEYBOARD,,A,"761,813",98.14%,CL,,,#4,TH:,,chests,,A,"814,743",96.62%,JP,,,#4,RU:,,maxim,,S,"1,196,221",99.83%,CN,,,#4,ID:,,Stixe,,S,"1,175,424",99.44%,KZ,,,#4,AT:,,Akuma no Tenshi,,S,"1,121,501",98.11%,SG,,,#4,ID:,,Hakui Koyori,NM,S,"903,449",99.11%,KZ,,,#4,NZ:,,Kyujin,HD, S ,"939,551",97.48%,GB,,,#4,PE:,,[MG]Arnold24x24,HD, S ,"1,001,869",98.56%,FI,,,#4,JP:,,haga1115,HD,A,"338,807",96.11%,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
