,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Round of 16 ⬥ Team Hiscores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NM1,DIALOGUE+ - Daibouken o Yoroshiku,,,,,,,,,,,NM2,Hideous Divinity - The Deaden Room,,,,,,,,,,,NM3,Masayoshi Takanaka - Gascon Cocktail,,,,,,,,,,,NM4,ABSOLUTE CASTAWAY - step by step,,,,,,,,,,,NM5,gladde paling - vleermuis,,,,,,,,,,,HD1,Nekrogoblikon - Dressed as Goblins,,,,,,,,,,,HD2,Minami no Minami - KAFU-chan no Curry Udon Kyousoukyoku,,,,,,,,,,,HR1,Sunny Day Service - Kokoro ni Kumo o Motsu Shonen,,,,,,,,,,,HR2,Archspire - Involuntary Doppelganger,,,,,,,,,,,DT1,KOTOKO - Oboetete Ii yo,,,,,,,,,,,DT2,senya - Tokuiten no Kaibutsuteki Kanjou,,,,,,,,,,,DT3,"Tyler, The Creator - Ring Ring Ring",,,,,,,,,,,FM1,inabakumori - NON-USE,,,,,,,,,,,FM2,Magdalena Bay - Image,,,,,,,,,,,FM3,masarada - Liar Dancer,,,,,,,,,,,TB,Yooh - Eternity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs,,,#,,team,player,mods,,score,acc,team score ▼,vs
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#1,,United Kingdom,Plasma,,S,"985,348",99.27%,"3,272,079",NZ,,,#1,,Poland,Rafis,,S,"993,208",99.47%,"3,719,338",PH,,,#1,,South Korea,Amamya Kokoro,,S,"960,964",98.55%,"3,547,112",CL,,,#1,,France,Musty,,S,"920,253",97.76%,"3,088,251",US,,,#1,,Poland,MALISZEWSKI,,A,"666,092",95.91%,"2,302,593",PH,,,#1,,China,lolol235,,A,"930,691",97.62%,"2,954,990",RU,,,#1,,Poland,MALISZEWSKI,, S ,"1,058,452",99.91%,"3,528,415",PH,,,#1,,United States,WindowLife,,S,"1,054,872",98.85%,"3,364,436",FR,,,#1,,United States,decaten,,S,"1,088,805",99.71%,"3,089,198",FR,,,#1,,Australia,cloppit,,S,"1,193,360",99.75%,"4,743,355",RO,,,#1,,Germany,okinamo,,S,"1,175,613",99.31%,"4,308,049",BR,,,#1,,Poland,MALISZEWSKI,,S,"1,151,093",98.91%,"4,131,802",PH,,,#1,,Australia,mrekk,NM,S,"983,086",99.60%,"2,933,587",RO,,,#1,,United Kingdom,Plasma,HD, S ,"986,726",97.60%,"3,233,379",NZ,,,#1,,Germany,criller,NM,A,"962,173",99.11%,"3,252,173",BR,,,#1,,Japan,Furamun,NM,A,"448,823",96.39%,"1,479,093",TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bubbleman,,S,"980,703",99.33%,,,,,,,,milosz,,S,"991,118",99.43%,,,,,,,,LATAJACYTUNCZYK,,S,"931,782",97.65%,,,,,,,,fiaee,,S,"835,403",97.80%,,,,,,,,evil grape,,B,"580,285",91.43%,,,,,,,,Ledeau_Fox,, S ,"850,625",93.60%,,,,,,,,hav,, S ,"1,055,661",99.83%,,,,,,,,rektygon,,A,"871,810",98.74%,,,,,,,,rektygon,,A,"1,045,480",98.71%,,,,,,,,aknzx,,S,"1,192,635",99.75%,,,,,,,,yary,,S,"1,154,705",98.88%,,,,,,,,milosz,,S,"1,130,325",98.31%,,,,,,,,palr,HD,A,"752,231",98.97%,,,,,,,,Bubbleman,NM,S,"981,622",99.43%,,,,,,,,okinamo,HD, S ,"924,193",98.67%,,,,,,,,shouponpon,NM,A,"353,109",97.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,fudge,,A,"737,467",99.45%,,,,,,,,evil grape,,S,"919,060",97.37%,,,,,,,,Suyong_,,S,"876,473",96.64%,,,,,,,,calangi,,A,"794,529",97.45%,,,,,,,,milosz,,A,"540,497",94.34%,,,,,,,,Crystal,,A,"604,155",97.79%,,,,,,,,milosz,,A,"763,794",99.24%,,,,,,,,decaten,,A,"729,834",99.36%,,,,,,,,Pezz,,A,"485,739",98.35%,,,,,,,,ASecretBox,,S,"1,192,478",99.75%,,,,,,,,Denzel Curry,,S,"1,152,599",98.77%,,,,,,,,Kosiarek,,S,"1,067,430",96.72%,,,,,,,,Xaver,NM,A,"601,133",98.18%,,,,,,,,fudge,HR,A,"658,814",99.25%,,,,,,,,ZeitFrost,HR,A,"695,491",97.70%,,,,,,,,haga1115,HD,A,"338,807",96.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mahmood,,A,"568,561",98.99%,,,,,,,,gnahus,,A,"815,952",98.44%,,,,,,,,Nopekjk,,S,"777,893",96.13%,,,,,,,,Hifkil,,A,"538,066",96.28%,,,,,,,,Kosiarek,,A,"515,719",92.90%,,,,,,,,lolol233,,A,"569,519",96.92%,,,,,,,,evil grape,,A,"650,508",98.87%,,,,,,,,Pezz,,S,"707,920",99.08%,,,,,,,,WindowLife,,A,"469,174",98.12%,,,,,,,,mrekk,,S,"1,164,882",99.12%,,,,,,,,Fleh,,A,"825,132",98.30%,,,,,,,,gnahus,,S,"782,954",97.89%,,,,,,,,ASecretBox,HR,A,"597,137",99.37%,,,,,,,,lystia,NM,A,"606,217",97.10%,,,,,,,,yary,NM,A,"670,316",98.96%,,,,,,,,RafuNa,NM,A,"338,354",96.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
