#REF!,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,OWC 2025 Round of 16 ⬥ Team Statistics,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,#,,,team,avg. %max ▼,avg. score,,,w,l,pf,pa,pd,,,matches,
,,,,,,,,,,,,,,,,,,
,,#1,,AU,Australia,0.9690,"3,285,974",,,1,0,5,0,+5,,,5 - 0,vs
,,#2,,PL,Poland,0.9186,"3,276,684",,,1,0,5,1,+4,,,5 - 1,vs
,,#3,,US,United States,0.9116,"3,052,893",,,1,0,5,2,+3,,,5 - 2,vs
,,#4,,CA,Canada,0.8821,"2,936,879",,,1,0,5,0,+5,,,5 - 0,vs
,,#5,,KR,South Korea,0.8764,"3,045,710",,,1,0,5,0,+5,,,5 - 0,vs
,,#6,,RU,Russian Federation,0.8585,"3,042,025",,,0,1,3,5,-2,,,3 - 5,vs
,,#7,,CN,China,0.8433,"2,954,473",,,1,0,5,3,+2,,,5 - 3,vs
,,#8,,DE,Germany,0.8297,"3,047,572",,,1,0,5,1,+4,,,5 - 1,vs
,,#9,,GB,United Kingdom,0.8156,"2,903,946",,,1,0,5,3,+2,,,5 - 3,vs
,,#10,,NZ,New Zealand,0.8001,"2,869,589",,,0,1,3,5,-2,,,3 - 5,vs
,,#11,,RO,Romania,0.7917,"2,677,610",,,0,1,0,5,-5,,,0 - 5,vs
,,#12,,PH,Philippines,0.7911,"2,809,818",,,0,1,1,5,-4,,,1 - 5,vs
,,#13,,AT,Austria,0.7830,"2,821,479",,,1,0,5,1,+4,,,5 - 1,vs
,,#14,,FR,France,0.7788,"2,595,668",,,0,1,2,5,-3,,,2 - 5,vs
,,#15,,TW,Taiwan,0.7724,"2,606,952",,,1,0,5,0,+5,,,5 - 0,vs
,,#16,,FI,Finland,0.7516,"2,845,728",,,1,0,5,1,+4,,,5 - 1,vs
,,#17,,TH,Thailand,0.7391,"2,476,188",,,0,1,4,5,-1,,,4 - 5,vs
,,#18,,JP,Japan,0.7339,"2,407,459",,,1,0,5,4,+1,,,5 - 4,vs
,,#19,,ID,Indonesia,0.7334,"2,563,310",,,1,0,5,2,+3,,,5 - 2,vs
,,#20,,KZ,Kazakhstan,0.7287,"2,522,830",,,0,1,2,5,-3,,,2 - 5,vs
,,#21,,ES,Spain,0.7281,"2,665,342",,,1,0,6,0,+6,,,6 - 0,vs
,,#22,,CL,Chile,0.7279,"2,536,545",,,0,1,0,5,-5,,,0 - 5,vs
,,#23,,TR,Türkiye,0.7171,"2,464,768",,,1,0,5,3,+2,,,5 - 3,vs
,,#24,,SE,Sweden,0.7137,"2,380,649",,,1,0,5,3,+2,,,5 - 3,vs
,,#25,,NO,Norway,0.7077,"2,365,821",,,0,1,0,5,-5,,,0 - 5,vs
,,#26,,BR,Brazil,0.6913,"2,539,762",,,0,1,1,5,-4,,,1 - 5,vs
,,#27,,SG,Singapore,0.6785,"2,420,674",,,0,1,1,5,-4,,,1 - 5,vs
,,#28,,PE,Peru,0.6658,"2,459,796",,,0,1,1,5,-4,,,1 - 5,vs
,,#29,,IT,Italy,0.6534,"2,255,047",,,0,1,3,5,-2,,,3 - 5,vs
,,#30,,NL,Netherlands,0.6108,"2,086,022",,,0,1,0,5,-5,,,0 - 5,vs
,,#31,,MY,Malaysia,0.5812,"1,980,876",,,0,1,3,5,-2,,,3 - 5,vs
,,#32,,AR,Argentina,0.5797,"2,109,875",,,0,1,0,6,-6,,,0 - 6,vs
