,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Semifinals ⬥ Player Leaderboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NM1,paraoka feat. haru*nya - Tyranny,,,,,,,,,,NM2,Various Artists - Ms. VICTORIA,,,,,,,,,,NM3,steelplus - Skywired Beatscape,,,,,,,,,,NM4,HAKUSHI HASEGAWA - Desert,,,,,,,,,,NM5,momone chinoi - DENNO MIENMIEN MAO,,,,,,,,,,HD1,DJ SHARPNEL - STRANGEPROGRAM,,,,,,,,,,HD2,Mili - Peach Pit and Cyanide,,,,,,,,,,HD3,qfeileadh feat. Risa Kodaka - Tendou Musou no Homura,,,,,,,,,,HR1,AZKi - Fake.Fake.Fake,,,,,,,,,,HR2,maki - stairway to the universe,,,,,,,,,,HR3,utzbo - Kagenui,,,,,,,,,,DT1,SB_YUNE - Dread of the grave -more fear-,,,,,,,,,,DT2,gmtn. (witch's slave) - Daraku no Sono,,,,,,,,,,DT3,paraoka - Dreadnought,,,,,,,,,,DT4,Telepopmusik - Breathe,,,,,,,,,,FM1,Hotori Misaki (CV: Koharu Nagi) - Wakuwaku Tabemono Land,,,,,,,,,,FM2,DJ Sharpnel - Entangle Night,,,,,,,,,,FM3,femtanyl - GIRL HELL 1999 (bye2 Remix),,,,,,,,,,FM4,"Kairiki bear feat. GUMI, Kagamine Rin - Inai Inai Izonshou",,,,,,,,,,TB,ELFENSJoN - Hexen Noir,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs,,,#,,,player,mods,,score ▼,acc,vs
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#1,DE:,,criller,,S,"1,000,046",99.77%,NZ,,,#1,RU:,,gamer228666,,A,"844,362",98.83%,KR,,,#1,DE:,,criller,,A,"860,368",97.97%,NZ,,,#1,PL:,,MALISZEWSKI,,S,"982,152",99.56%,CA,,,#1,KR:,,LATAJACYTUNCZYK,,S,"879,838",96.37%,NO,,,#1,CA:,,xootynator,,A,"724,228",98.89%,PL,,,#1,US:,,BoshyMan741,, S ,"991,013",98.15%,AU,,,#1,KR:,,Allegrissimo,, S ,"966,979",97.27%,NO,,,#1,DE:,,criller,,A,"875,195",99.03%,CL,,,#1,KR:,,[Karcher],,A,"827,284",99.23%,RU,,,#1,KR:,,LATAJACYTUNCZYK,,S,"740,692",97.83%,RU,,,#1,US:,,tekkito,,S,"1,222,835",99.42%,AU,,,#1,AU:,,cloppit,,A,"949,707",97.03%,US,,,#1,KR:,,LATAJACYTUNCZYK,,S,"1,049,272",96.14%,NO,,,#1,RU:,,Lexu2S,,A,"552,665",96.33%,GB,,,#1,AU:,,ASecretBox,HD,A,"1,008,129",99.06%,US,,,#1,NZ:,,Saiyku,HR,S,"973,636",96.63%,DE,,,#1,PL:,,MALISZEWSKI,HR,S,"1,063,393",98.90%,CA,,,#1,DE:,,okinamo,HD,A,"831,658",97.68%,NZ,,,,,,,,,,,
,,#2,KR:,,LATAJACYTUNCZYK,,A,"849,640",99.39%,RU,,,#2,KR:,,Amamya Kokoro,,A,"686,650",98.76%,RU,,,#2,NZ:,,Saiyku,,A,"834,175",96.69%,CN,,,#2,DE:,,criller,,A,"854,362",98.75%,NZ,,,#2,NO:,,NINERIK,,S,"564,900",96.57%,KR,,,#2,PL:,,MALISZEWSKI,,A,"642,761",99.44%,CA,,,#2,US:,,EthantrixV3,, S ,"885,926",94.77%,AU,,,#2,CN:,,lolol235,,A,"675,557",95.30%,NZ,,,#2,CA:,,xootynator,,A,"734,596",99.68%,PL,,,#2,NZ:,,Saiyku,,A,"682,606",98.39%,DE,,,#2,RU:,,Lexu2S,,A,"594,327",96.12%,KR,,,#2,NO:,,papercandle,,S,"1,201,216",98.80%,KR,,,#2,US:,,tekkito,,A,"868,157",97.78%,AU,,,#2,KR:,,Suyong_,,S,"1,038,278",95.70%,NO,,,#2,RU:,,Welter,,A,"538,293",97.14%,GB,,,#2,KR:,,Chipori,NM,S,"979,814",99.45%,RU,,,#2,NZ:,,Kyujin,NM,S,"971,662",99.21%,DE,,,#2,US:,,EthantrixV3,HD, S ,"1,016,006",98.80%,AU,,,#2,NZ:,,ozbert,HD,A,"727,520",96.33%,DE,,,,,,,,,,,
,,#3,NZ:,,Kyujin,,A,"743,885",98.09%,DE,,,#3,KR:,,[Karcher],,A,"659,476",99.44%,RU,,,#3,DE:,,Denzel Curry,,A,"729,416",97.89%,NZ,,,#3,NZ:,,Saiyku,,S,"839,426",98.73%,DE,,,#3,PL:,,hav,,A,"562,722",98.94%,CA,,,#3,KR:,,LATAJACYTUNCZYK,,A,"636,705",98.82%,RU,,,#3,AU:,,mrekk,,A,"574,505",96.70%,US,,,#3,NO:,,Melvr,,A,"668,658",95.69%,KR,,,#3,DE:,,criller,,A,"685,407",98.97%,NZ,,,#3,KR:,,LATAJACYTUNCZYK,,A,"675,327",98.86%,RU,,,#3,KR:,,Amamya Kokoro,,A,"584,184",96.12%,NO,,,#3,PL:,,MALISZEWSKI,,S,"1,194,957",98.48%,CA,,,#3,US:,,rektygon,,A,"798,542",95.80%,AU,,,#3,NO:,,NINERIK,,A,"995,477",95.70%,KR,,,#3,GB:,,Bubbleman,,A,"451,862",95.48%,RU,,,#3,US:,,WindowLife,NM,S,"974,313",99.29%,AU,,,#3,DE:,,okinamo,HD, S ,"968,884",97.41%,NZ,,,#3,US:,,rektygon,HR,S,"916,245",98.18%,AU,,,#3,CL:,,Intercambing,NM,A,"663,953",98.34%,DE,,,,,,,,,,,
,,#4,GB:,,Plasma,,A,"740,957",98.88%,RU,,,#4,RU:,,Welter,,A,"591,852",98.25%,KR,,,#4,US:,,WindowLife,,A,"650,771",98.84%,AU,,,#4,NZ:,,Saiyku,,S,"822,093",98.24%,CN,,,#4,PL:,,evil grape,,A,"526,196",95.79%,CA,,,#4,KR:,,LATAJACYTUNCZYK,,A,"604,200",98.48%,NO,,,#4,US:,,[C],,A,"567,503",98.23%,AU,,,#4,GB:,,skia1,,A,"655,018",96.79%,RU,,,#4,DE:,,Fleh,,A,"590,904",97.21%,CL,,,#4,NZ:,,Saiyku,,A,"649,576",98.50%,CN,,,#4,RU:,,desuqe,,A,"570,065",96.72%,KR,,,#4,DE:,,Tim Kackner,,S,"1,188,992",98.40%,NZ,,,#4,AU:,,mrekk,,A,"760,268",96.57%,US,,,#4,KR:,,Allegrissimo,,A,"979,057",94.24%,NO,,,#4,GB:,,fudge,,A,"440,454",95.81%,RU,,,#4,CN:,,lolol235,NM,S,"962,593",98.96%,NZ,,,#4,NZ:,,Kyujin,NM,S,"964,392",99.02%,CN,,,#4,GB:,,skia1,HDHR,A,"787,318",96.36%,RU,,,#4,DE:,,criller,NM,A,"636,169",99.35%,CL,,,,,,,,,,,
