#REF!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Semifinals ⬥ Team Statistics,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,#,,,team,avg. %max ▼,avg. score,,,w,l,pf,pa,pd,,,matches,,,,
,,,,,,,,,,,,,,,,,,,,,
,,#1,,US,United States,1.0000,"2,724,740",,,1,0,6,0,+6,,,6 - 0,vs,,,
,,#2,,KR,South Korea,0.9302,"2,186,185",,,2,0,12,2,+10,,,6 - 1,vs,,6 - 1,vs
,,#3,,PL,Poland,0.8783,"2,140,837",,,1,0,6,1,+5,,,6 - 1,vs,,,
,,#4,,AU,Australia,0.8314,"2,258,243",,,0,1,0,6,-6,,,0 - 6,vs,,,
,,#5,,DE,Germany,0.8140,"2,041,089",,,2,0,12,6,+6,,,6 - 2,vs,,6 - 4,vs
,,#6,,NZ,New Zealand,0.7962,"2,043,917",,,1,1,10,9,+1,,,6 - 3,vs,,4 - 6,vs
,,#7,,RU,Russian Federation,0.7628,"1,798,087",,,1,1,7,9,-2,,,6 - 3,vs,,1 - 6,vs
,,#8,,CN,China,0.7601,"1,985,768",,,0,1,3,6,-3,,,3 - 6,vs,,,
,,#9,,GB,United Kingdom,0.7521,"1,837,137",,,0,1,3,6,-3,,,3 - 6,vs,,,
,,#10,,NO,Norway,0.7418,"1,819,281",,,0,1,1,6,-5,,,1 - 6,vs,,,
,,#11,,CA,Canada,0.7216,"1,770,790",,,0,1,1,6,-5,,,1 - 6,vs,,,
,,#12,,CL,Chile,0.6893,"1,683,817",,,0,1,2,6,-4,,,2 - 6,vs,,,
