username,elitebotix_score,skill_issue_score,bancho_score,lazer_score,recent_tournament_form,consistency_score,reliability_multiplier,activity_multiplier,final_power_score,provisional,base_power_score,tournaments_played_last_12m,days_since_last_event,explanation,debug
mrekk,,,100.0,,72.65,82.27,0.8875,0.9475,67.89,True,80.74,2,134.0,"mrekk scores 67.89 with bancho score 100.0, consistency score 82.3, recent tournament form 72.7; reliability 0.887, activity 0.948, provisional",{}
MALISZEWSKI,,,64.88,,81.34,92.31,0.9062,0.9478,67.86,False,79.01,3,133.0,"MALISZEWSKI scores 67.86 with consistency score 92.3, recent tournament form 81.3, bancho score 64.9; reliability 0.906, activity 0.948",{}
liliel,,,84.44,,69.52,97.93,0.8875,0.9478,65.14,True,77.44,2,133.0,"liliel scores 65.14 with consistency score 97.9, bancho score 84.4, recent tournament form 69.5; reliability 0.887, activity 0.948, provisional",{}
lifeline,,,81.94,,73.0,72.01,0.8875,0.9678,64.43,True,75.02,2,70.0,"lifeline scores 64.43 with bancho score 81.9, recent tournament form 73.0, consistency score 72.0; reliability 0.887, activity 0.968, provisional",{}
Raikouhou,,,64.44,,75.69,98.84,0.8875,0.9478,64.32,True,76.47,2,133.0,"Raikouhou scores 64.32 with consistency score 98.8, recent tournament form 75.7, bancho score 64.4; reliability 0.887, activity 0.948, provisional",{}
ASecretBox,,,71.37,,68.92,95.08,0.9062,0.9475,63.09,False,73.48,3,134.0,"ASecretBox scores 63.09 with consistency score 95.1, bancho score 71.4, recent tournament form 68.9; reliability 0.906, activity 0.948",{}
enri,,,71.06,,90.11,25.0,0.8688,0.9478,62.27,True,75.63,1,133.0,"enri scores 62.27 with recent tournament form 90.1, bancho score 71.1, consistency score 25.0; reliability 0.869, activity 0.948, provisional",{}
misha awa,,,50.93,,77.34,97.53,0.8875,0.9478,62.24,True,74.0,2,133.0,"misha awa scores 62.24 with consistency score 97.5, recent tournament form 77.3, bancho score 50.9; reliability 0.887, activity 0.948, provisional",{}
rektygon,,,61.62,,75.46,85.06,0.8875,0.9478,61.88,True,73.56,2,133.0,"rektygon scores 61.88 with consistency score 85.1, recent tournament form 75.5, bancho score 61.6; reliability 0.887, activity 0.948, provisional",{}
Riot,,,55.55,,81.5,66.42,0.8875,0.9478,61.34,True,72.92,2,133.0,"Riot scores 61.34 with recent tournament form 81.5, consistency score 66.4, bancho score 55.5; reliability 0.887, activity 0.948, provisional",{}
