username,elitebotix_score,skill_issue_score,bancho_score,lazer_score,recent_tournament_form,consistency_score,reliability_multiplier,activity_multiplier,final_power_score,provisional,base_power_score,tournaments_played_last_12m,days_since_last_event,explanation,debug
BoshyMan741,,,,,83.43,83.98,0.8875,0.9475,70.25,True,83.54,2,134.0,"BoshyMan741 scores 70.25 with consistency score 84.0, recent tournament form 83.4; reliability 0.887, activity 0.948, provisional",{}
hav,,,,,79.34,88.52,0.8875,0.9475,68.26,True,81.18,2,134.0,"hav scores 68.26 with consistency score 88.5, recent tournament form 79.3; reliability 0.887, activity 0.948, provisional",{}
MALISZEWSKI,,,,,74.72,91.83,0.9062,0.9475,67.09,False,78.14,3,134.0,"MALISZEWSKI scores 67.09 with consistency score 91.8, recent tournament form 74.7; reliability 0.906, activity 0.948",{}
decaten,,,,,76.22,81.1,0.9062,0.9475,66.28,False,77.2,3,134.0,"decaten scores 66.28 with consistency score 81.1, recent tournament form 76.2; reliability 0.906, activity 0.948",{}
rektygon,,,,,78.98,73.4,0.8875,0.9475,65.48,True,77.86,2,134.0,"rektygon scores 65.48 with recent tournament form 79.0, consistency score 73.4; reliability 0.887, activity 0.948, provisional",{}
Rafis,,,,,75.42,86.05,0.8875,0.9475,65.21,True,77.55,2,134.0,"Rafis scores 65.21 with consistency score 86.0, recent tournament form 75.4; reliability 0.887, activity 0.948, provisional",{}
Pezz,,,,,73.98,88.65,0.8875,0.9475,64.68,True,76.91,2,134.0,"Pezz scores 64.68 with consistency score 88.7, recent tournament form 74.0; reliability 0.887, activity 0.948, provisional",{}
liliel,,,,,70.97,96.54,0.8875,0.9475,63.98,True,76.08,2,134.0,"liliel scores 63.98 with consistency score 96.5, recent tournament form 71.0; reliability 0.887, activity 0.948, provisional",{}
EthantrixV3,,,,,73.63,85.84,0.8688,0.9475,62.62,True,76.07,1,134.0,"EthantrixV3 scores 62.62 with consistency score 85.8, recent tournament form 73.6; reliability 0.869, activity 0.948, provisional",{}
calebshucks,,,,,71.6,89.87,0.8688,0.9475,61.95,True,75.25,1,134.0,"calebshucks scores 61.95 with consistency score 89.9, recent tournament form 71.6; reliability 0.869, activity 0.948, provisional",{}
ASecretBox,,,,,65.67,95.91,0.9062,0.9472,61.56,False,71.72,3,135.0,"ASecretBox scores 61.56 with consistency score 95.9, recent tournament form 65.7; reliability 0.906, activity 0.947",{}
gnahus,,,,,67.31,96.26,0.8875,0.9475,61.47,True,73.1,2,134.0,"gnahus scores 61.47 with consistency score 96.3, recent tournament form 67.3; reliability 0.887, activity 0.948, provisional",{}
cloppit,,,,,64.9,99.09,0.8875,0.9472,60.31,True,71.74,2,135.0,"cloppit scores 60.31 with consistency score 99.1, recent tournament form 64.9; reliability 0.887, activity 0.947, provisional",{}
tekkito,,,,,70.29,71.03,0.8875,0.9475,59.23,True,70.44,2,134.0,"tekkito scores 59.23 with consistency score 71.0, recent tournament form 70.3; reliability 0.887, activity 0.948, provisional",{}
