tournament_name,year,data_quality,status,source,source_url,forum_url,wiki_url,spreadsheet_url,bracket_url,discord_url,rank_range,team_size,format,notes
[STD] LeBron James Suiji | 4v4 | International | Open Rank | Player & Staff Registrations Open,2026,partial,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2195943,https://osu.ppy.sh/community/forums/topics/2195943,,https://docs.google.com/spreadsheets/d/1V7KTOWs-ITNr6FWxUc69G5vQlycqqDitvNtGWHFHXsA/edit?usp=sharing,https://challonge.com/lbjsuiji,https://discord.gg/ppy,,4,4v4,has at least one structured source
[STD] Open Rank | Suiji | 4v4 | Kitsune Cup | [Habla Hispana Only] | [Regs Closed],2026,partial,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2188468,https://osu.ppy.sh/community/forums/topics/2188468,,https://docs.google.com/spreadsheets/d/11GXw1VzXuPMdI-CsAtd69g27326O1MM-uad_l0pzamI/edit?usp=sharing,https://challonge.com/es/5nwwmcun,https://discord.gg/ppy,,4,4v4,has at least one structured source
[STD] Suomen Alueellinen Turnaus [ 2v2 | Open Rank | FI only ] Regs Open!,2026,partial,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2198883,https://osu.ppy.sh/community/forums/topics/2198883,,https://docs.google.com/spreadsheets/d/1HczPCOThxajHvYmLUQH_sC3y5Bqgq4hLp1X9iJrlEC8/edit?usp=sharing,https://challonge.com/b9yeevhg,https://discord.gg/ppy,,2,2v2,has at least one structured source
[STD] Australian States Cup 2026 (AU/NZ only) | 3v3 | Open Rank (Registrations Open!),2026,partial,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2193923,https://osu.ppy.sh/community/forums/topics/2193923,,https://docs.google.com/spreadsheets/d/1MYHuHdQu59vFadIxhVWDxiRaIfLU5k_mEMYjpEbmvIg/edit?usp=sharing,,https://discord.gg/ppy,,3,3v3,has at least one structured source
[osu!Standard] (Open rank) Sweden Cup 2026 [Registrations open],2026,partial,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2198246,https://osu.ppy.sh/community/forums/topics/2198246,,https://docs.google.com/spreadsheets/d/1c1fN28YRti4dnTB0l0pYu1NfqWw5vEOnHgynTWaVccM/edit?usp=sharing,,https://discord.gg/ppy,,,,has at least one structured source
[STD] Midarna's Aim Battle Royale | FR speakers Only | Open rank,2026,partial,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2199701,https://osu.ppy.sh/community/forums/topics/2199701,,https://docs.google.com/spreadsheets/d/1xNXAQVc_cIFR_oi-DTcEa0DQ0HYiY78nHRn818n8n5w/edit?usp=sharing,,https://discord.gg/ppy,,,,has at least one structured source
[1V1] [STD] KEL ONLINE INVITATIONAL,2026,partial,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2198792,https://osu.ppy.sh/community/forums/topics/2198792,,https://docs.google.com/spreadsheets/d/1bBZ_CVbg8dVK4iQKtmHYs6tP5lHRTIlgW5d0rxbtiBs/edit?usp=sharing,https://challonge.com/kelinvitational,https://discord.gg/ppy,,1,1v1,has at least one structured source
[STD | 28k-ထ | 2v2 TS2] Gambling Gulag League 2 [STAFF/PLAYER REG OPEN],2026,partial,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2176063,https://osu.ppy.sh/community/forums/topics/2176063,,https://docs.google.com/spreadsheets/d/1RGQ3ZwwnG6ZZiSNwXg7Ri0e89FlxtnYIQ5dzobRjSwg/edit?usp=sharing,https://challonge.com/ggl2026,https://discord.gg/ppy,,2,2v2,has at least one structured source
[STD] European Draft Cup 2026 | #10+ BWS,2026,partial,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2198584,https://osu.ppy.sh/community/forums/topics/2198584,,https://docs.google.com/spreadsheets/d/1eU3sdblV3iVV4JSCmW74S1CkChZ0bTB6tlV6wyOVNRc/edit?gid=0,https://challonge.com/de/EDC2026,https://discord.gg/ppy,,,,has at least one structured source
[STD 1v1] Letni Obóz Èze [1k+ PL ONLY] [REGS OPEN],2026,partial,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2198834,https://osu.ppy.sh/community/forums/topics/2198834,,https://docs.google.com/spreadsheets/d/10qQrH2iVQSdiTyEx0bgiSlvErPUCgMuRs4ujrpKy9_g/edit?gid=0,,https://discord.gg/ppy,,1,1v1,has at least one structured source
[STD 1v1] South Africa osu! Tournament 7 [REG Closed] (Sponsored by ACGL),2026,partial,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2161070,https://osu.ppy.sh/community/forums/topics/2161070,,https://docs.google.com/spreadsheets/d/1OWXy2YTx5fd2xNXvaYUPOyYbe0h9bEQi83-38ZIf2VQ/edit?usp=sharing,,https://discord.gg/ppy,,1,1v1,has at least one structured source
"[STD] The Grand Orchestra | 3v3 Ts6 | #1.000 - #99.000 BWS | Team, FA & Staff Regs Open!",2026,partial,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2197109,https://osu.ppy.sh/community/forums/topics/2197109,,https://docs.google.com/spreadsheets/d/1l4iMj8YzzdsA1CD558PQi39mu4iU-jAFjr_498uMgSs/edit?usp=sharing,,https://discord.gg/ppy,,3,3v3,has at least one structured source
[STD][Staff Regs OPEN // Player Regs CLOSED][75k-200k] Redshift Frequency [3v3 TS5],2026,partial,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2190179,https://osu.ppy.sh/community/forums/topics/2190179,,https://docs.google.com/spreadsheets/d/1wonjpLDaFZcc0v2aVG1qf0klLOU-ZhFc0gacXSyz1s8/edit?gid=1581132496,,https://discord.gg/ppy,,3,3v3,has at least one structured source
"[KR, STD] 듀오 컵: 한국 2026 | DUO CUP: KOREA 2026 [참가 신청 ~4/20 02:00]",2026,partial,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2195574,https://osu.ppy.sh/community/forums/topics/2195574,,https://docs.google.com/spreadsheets/d/1tr1nNGhXZnl05T633nQ853VXDuatyK_8984qIcYTg68/edit?gid=0,,https://discord.gg/ppy,,,,has at least one structured source
"[STD] SPUNOUT SPUNOUT ""NORMALES"" TOURNAMENT (Regs Open 1k-25k BWS [DACH REGION])",2026,partial,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2176671,https://osu.ppy.sh/community/forums/topics/2176671,,https://docs.google.com/spreadsheets/d/1athIMOrwfeDNY73hmHhos_9ebNPR98owHIxpirGOdZY/edit?gid=2046484697,,https://discord.gg/ppy,,,,has at least one structured source
[STD] Re:Revolution Tournament (SEA Region Only) | 2v2 TS3 | 50k - 999k (Registrations Open!),2026,partial,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2200883,https://osu.ppy.sh/community/forums/topics/2200883,,https://docs.google.com/spreadsheets/d/17eUnIEafRZll_gIOxhIuExm2noAV1lm-gqezkbf_s2U/edit?gid=0,,https://discord.gg/ppy,,2,2v2,has at least one structured source
[STD][1v1][85k - 999k][Reg Open] o!TA:N Season 1,2026,partial,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2198104,https://osu.ppy.sh/community/forums/topics/2198104,,https://docs.google.com/spreadsheets/d/1KD6dOjh0r7g8N6Mza95HsRZbVqCbfNqBF0vaYVyFaMo,,https://discord.gg/ppy,,1,1v1,has at least one structured source
"[STD, o!m4k][1v1][Open Rank] Canonical LAN osu! UCI During Spring",2026,low,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2200393,https://osu.ppy.sh/community/forums/topics/2200393,,,,https://discord.gg/ppy,,1,1v1,discovered but missing structured data links
