tournament_name,year,data_quality,status,source,source_url,forum_url,wiki_url,spreadsheet_url,bracket_url,discord_url,rank_range,team_size,format,notes
"[std, open rank] Egobaby's Trials",2025,high,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2161449,https://osu.ppy.sh/community/forums/topics/2161449,,https://docs.google.com/spreadsheets/d/1bDzZeDI_4IrKSY99_Ts2kLUvyOHJlYWd3wpezjnO1A8/edit?usp=sharing,https://challonge.com/egbt,https://discord.gg/ppy,,,,"has two core sources among match links, spreadsheet, and bracket"
[STD][Multimode][US Only][Open Rank] osu! Civil War - FINISHED,2025,partial,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2161357,https://osu.ppy.sh/community/forums/topics/2161357,,https://docs.google.com/spreadsheets/d/1gSfXukuJ0dam_6R6JFeQz3nQTfGw9KZVKQgrSVAlOFc,,https://discord.gg/ppy,,,,has at least one structured source
"[STD] osu!Arena's Scuffed Farm Tournament 1 [Open Rank, 1v1] [SIGN UP'S CLOSED]",2025,partial,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2162074,https://osu.ppy.sh/community/forums/topics/2162074,,https://docs.google.com/spreadsheets/d/1Evnouke_VLZNYNx1RNfiwCgyJeg-EOWEWP6xNyGILPA/edit?usp=sharing,,https://discord.gg/ppy,,1,1v1,has at least one structured source
[STD] [3v3 | 中文 | 125k - 300k | Reg Open! ] OCNT 2026 Winter,2025,partial,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2165182,https://osu.ppy.sh/community/forums/topics/2165182,,https://docs.google.com/spreadsheets/d/1rpZfCnlsKJWFHFOebgUl65buwG_nlLZybkdaGY6EwV8,,https://discord.gg/ppy,,3,3v3,has at least one structured source
[STD][中文娱乐赛] ZKFC S3 | Openrank | 3v3 Draft | Double Elimination | Newbie Friendly!,2025,low,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2162529,https://osu.ppy.sh/community/forums/topics/2162529,,,,https://discord.gg/ppy,,3,3v3,discovered but missing structured data links
[STD | 中文] 杂鱼杯 Zako Cup 2 [Solo 1v1 | 50k - INF] [CONCLUDED],2025,high,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2163145,https://osu.ppy.sh/community/forums/topics/2163145,,https://docs.google.com/spreadsheets/d/1cyJZ6BrJQTVqnVyFM_KX9M0F7o1VvQ9H5UbQ1ssO1QQ,https://challonge.com/zkc2,https://discord.gg/ppy,,1,1v1,"has two core sources among match links, spreadsheet, and bracket"
[ONLY RU / STD] 5-7 Digit Speed Demon Mega Pro Super Cup 2000 [70k-9999k BWS] [Registration Closed],2025,partial,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2161232,https://osu.ppy.sh/community/forums/topics/2161232,,https://docs.google.com/spreadsheets/d/1E_m8QhUwyR5jK0GvHoLM73HwarIn_NvAiCkXrJiqOjI/edit?gid=0,,https://discord.gg/ppy,,,,has at least one structured source
"[STD] 5 Digit Touhou Cup 3 | 10k - 99,999, 4v4 TS8 Draft | Tournament Finished",2025,high,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2162098,https://osu.ppy.sh/community/forums/topics/2162098,,https://docs.google.com/spreadsheets/d/1naPSRG-DHCKt5cL4qHJ-cRMJsyckdDUiTMqqhCrdES4,https://challonge.com/5thc3,https://discord.gg/ppy,,4,4v4,"has two core sources among match links, spreadsheet, and bracket"
[STD] #russian osu! cup '25 (1vs1),2025,partial,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/2157892,https://osu.ppy.sh/community/forums/topics/2157892,,https://docs.google.com/spreadsheets/d/1VRDX6-nONeEPPD-diOqFseccSJXnhPxfAmQliWiioB8/htmlview?rm=minimal,,https://discord.gg/ppy,,1,1v1,has at least one structured source
[STD] Aqua's Skillcap Showdown[AQS] | 100k - 300k | 2v2 TS4 [PLAYER REGS CLOSED & STAFF REGS OPEN],2025,high,discovered,forum_55,https://osu.ppy.sh/community/forums/topics/1939190,https://osu.ppy.sh/community/forums/topics/1939190,,https://docs.google.com/spreadsheets/d/18PBMTFoTlWirCm2Dklqv480ZzMF1vZycDCDuTAg0s6I/edit?gid=88294093,https://challonge.com/aqsosu,https://discord.gg/ppy,,2,2v2,"has two core sources among match links, spreadsheet, and bracket"
